node,node2,regime
c5049,,1
c5050,,1
c5165,c5166,1
c5165,,1
c5166,,1
c4987,c5229,1
c4987,c5291,1
c4987,c4988,1
c4987,,1
c4988,,1
c5291,c5105,1
c5291,c5397,1
c5291,c5292,1
c5291,,1
c5292,,1
c5397,c5398,1
c5397,,1
c5398,,1
c5105,c5021,1
c5105,c5106,1
c5105,,1
c5106,,1
c5021,c5022,1
c5021,,1
c5022,,1
c5229,c5129,1
c5229,c5091,1
c5229,c5230,1
c5229,,1
c5230,,1
c5091,c4959,1
c5091,c5092,1
c5091,,1
c5092,,1
c4959,c4960,1
c4959,,1
c4960,,1
c5129,c5075,1
c5129,c5130,1
c5129,,1
c5130,,1
c5075,c5076,1
c5075,,1
c5076,,1
c5259,c5255,0
c5259,c4989,0
c5259,c5260,0
c5259,,0
c5260,,0
c4989,c4990,0
c4989,,0
c4990,,0
c5255,c5245,0
c5255,c5256,0
c5255,,0
c5256,,0
c5245,c5246,0
c5245,,0
c5246,,0
c5455,c5487,0
c5455,c5437,0
c5455,c5456,0
c5455,,0
c5456,,0
c5437,c5438,0
c5437,,0
c5438,,0
c5487,c5488,0
c5487,,0
c5488,,0
c5505,c5506,0
c5505,,0
c5506,,0
c5013,c4917,0
c5013,c5014,0
c5013,,0
c5014,,0
c4917,c5035,0
c4917,c4933,0
c4917,c4903,0
c4917,c5205,0
c4917,c5389,0
c4917,c4918,0
c4917,,0
c4918,,0
c5389,c5390,0
c5389,,0
c5390,,0
c5205,c5069,0
c5205,c5167,0
c5205,c5206,0
c5205,,0
c5206,,0
c5167,c5168,0
c5167,,0
c5168,,0
c5069,c4943,0
c5069,c5031,0
c5069,c5070,0
c5069,,0
c5070,,0
c5031,c5109,0
c5031,c5032,0
c5031,,0
c5032,,0
c5109,c5110,0
c5109,,0
c5110,,0
c4943,c4944,0
c4943,,0
c4944,,0
c4903,c5199,0
c4903,c5367,0
c4903,c5281,0
c4903,c4904,0
c4903,,0
c4904,,0
c5281,c5282,0
c5281,,0
c5282,,0
c5367,c5417,0
c5367,c5368,0
c5367,,0
c5368,,0
c5417,c5418,0
c5417,,0
c5418,,0
c5199,c5529,0
c5199,c4901,0
c5199,c5200,0
c5199,,0
c5200,,0
c4901,c4902,0
c4901,,0
c4902,,0
c5529,c5513,0
c5529,c5473,0
c5529,c5419,0
c5529,c5530,0
c5529,,0
c5530,,0
c5419,c5420,0
c5419,,0
c5420,,0
c5473,c5485,0
