ID	gene	hypothesis	regime	r	alpha	sigma	theta
24	Gene_25	h1	0	44.35064	5.7452145	8.719306	0.9308212995529175
24	Gene_25	h1	1	44.35064	5.7452145	8.719306	3.2074387073516846
25	Gene_26	h0	shared	118.56504	10.863374	9.171568	0.03838636726140976
25	Gene_26	h1	0	351.24216	12.935697	9.580158	-0.18762119114398956
25	Gene_26	h1	1	351.24216	12.935697	9.580158	1.0369545221328735
26	Gene_27	h0	shared	40.928722	5.5082645	8.637369	1.5129199028015137
26	Gene_27	h1	0	30.951965	8.864405	9.611398	1.066162347793579
26	Gene_27	h1	1	30.951965	8.864405	9.611398	3.928783416748047
27	Gene_28	h0	shared	43.991547	6.780567	9.508375	-0.3732507824897766
27	Gene_28	h1	0	287.2788	7.860872	9.850783	-0.7209361791610718
27	Gene_28	h1	1	287.2788	7.860872	9.850783	1.2207523584365845
28	Gene_29	h0	shared	24.501146	4.90313	8.755115	1.2362574338912964
28	Gene_29	h1	0	22.285217	5.2235117	8.813264	0.9894728064537048
28	Gene_29	h1	1	22.285217	5.2235117	8.813264	2.7050275802612305
29	Gene_30	h0	shared	32.776012	7.3670444	9.459429	1.8663686513900757
29	Gene_30	h1	0	35.056736	10.116577	9.960197	1.3873538970947266
29	Gene_30	h1	1	35.056736	10.116577	9.960197	4.12449836730957
30	Gene_31	h0	shared	198.87518	5.474403	8.433224	-0.21650809049606323
30	Gene_31	h1	0	580.3085	6.533096	8.655176	-0.6376959681510925
30	Gene_31	h1	1	580.3085	6.533096	8.655176	1.7293139696121216
31	Gene_32	h0	shared	69.08649	5.372877	8.759938	1.3589969873428345
31	Gene_32	h1	0	517.3061	6.6767297	9.287228	0.9873763918876648
31	Gene_32	h1	1	517.3061	6.6767297	9.287228	3.383312702178955
32	Gene_33	h0	shared	289.92477	5.5047073	8.0930395	1.2894656658172607
32	Gene_33	h1	0	473.4483	6.919849	8.461221	0.9225649833679199
32	Gene_33	h1	1	473.4483	6.919849	8.461221	3.3010363578796387
33	Gene_34	h0	shared	29.880379	6.7735176	9.006049	1.9450030326843262
33	Gene_34	h1	0	202.8638	9.225354	10.053157	1.5641058683395386
33	Gene_34	h1	1	202.8638	9.225354	10.053157	3.72363018989563
34	Gene_35	h0	shared	139.27374	6.268598	8.374344	1.4102256298065186
