ID	gene	hypothesis	regime	r	alpha	sigma	theta
24	Gene_25	h1	0	472.91022	8.857636	9.081617	1.0899603366851807
24	Gene_25	h1	1	472.91022	8.857636	9.081617	1.4816102981567383
25	Gene_26	h0	shared	115.67615	7.0742183	8.779375	-0.1637147217988968
25	Gene_26	h1	0	295.5882	7.5233154	8.920588	-0.35636281967163086
25	Gene_26	h1	1	295.5882	7.5233154	8.920588	0.7744002342224121
26	Gene_27	h0	shared	146.04474	7.4454503	9.954844	1.0036252737045288
26	Gene_27	h1	0	361.9547	7.538409	10.031166	0.9563617706298828
26	Gene_27	h1	1	361.9547	7.538409	10.031166	1.2330708503723145
27	Gene_28	h0	shared	52.147106	9.491537	8.441131	0.7024410963058472
27	Gene_28	h1	0	341.10718	9.390093	8.487157	0.7182508707046509
27	Gene_28	h1	1	341.10718	9.390093	8.487157	0.5861689448356628
28	Gene_29	h0	shared	206.36345	4.866569	7.898176	0.5532758831977844
28	Gene_29	h1	0	484.44247	4.9929533	7.8855524	0.30942967534065247
28	Gene_29	h1	1	484.44247	4.9929533	7.8855524	1.865236759185791
29	Gene_30	h0	shared	90.47789	6.594087	8.345503	0.3881853520870209
29	Gene_30	h1	0	326.1735	6.547932	8.361089	0.4126313328742981
29	Gene_30	h1	1	326.1735	6.547932	8.361089	0.21562346816062927
30	Gene_31	h0	shared	203.68672	6.4351087	7.8086987	1.4148987531661987
30	Gene_31	h1	0	765.25287	6.45526	7.8431616	1.4350134134292603
30	Gene_31	h1	1	765.25287	6.45526	7.8431616	1.317079782485962
31	Gene_32	h0	shared	45.12433	8.090979	9.8055725	1.5558875799179077
31	Gene_32	h1	0	186.92397	8.334161	10.052597	1.6076964139938354
31	Gene_32	h1	1	186.92397	8.334161	10.052597	1.2344462871551514
32	Gene_33	h0	shared	119.71835	10.536727	9.680154	-0.18757882714271545
32	Gene_33	h1	0	310.75452	10.485229	9.689057	-0.2609017491340637
32	Gene_33	h1	1	310.75452	10.485229	9.689057	0.10589101165533066
33	Gene_34	h0	shared	62.62524	11.212676	9.680213	0.22002071142196655
33	Gene_34	h1	0	354.1111	11.1585655	9.723823	0.18930566310882568
33	Gene_34	h1	1	354.1111	11.1585655	9.723823	0.320417195558548
34	Gene_35	h0	shared	250.11903	5.7757306	8.297002	0.5764261484146118
34	Gene_35	h1	0	477.18622	5.7757425	8.290819	0.6002730131149292
34	Gene_35	h1	1	477.18622	5.7757425	8.290819	0.4567212760448456
35	Gene_36	h0	shared	67.78562	6.4879208	8.85959	0.45715105533599854
35	Gene_36	h1	0	432.03464	6.4453325	8.902585	0.45826175808906555
35	Gene_36	h1	1	432.03464	6.4453325	8.902585	0.41641509532928467
36	Gene_37	h0	shared	128.63922	9.195752	9.063487	0.09759770333766937
36	Gene_37	h1	0	383.6082	9.2084875	9.078472	0.05925627052783966
36	Gene_37	h1	1	383.6082	9.2084875	9.078472	0.2652909755706787
37	Gene_38	h0	shared	49.18326	6.7731047	9.10854	0.3897062838077545
37	Gene_38	h1	0	47.07377	6.9106927	9.16899	0.4344872236251831
37	Gene_38	h1	1	47.07377	6.9106927	9.16899	0.16436120867729187
38	Gene_39	h0	shared	14.586883	8.7070675	9.6402235	2.0825552940368652
38	Gene_39	h1	0	13.667187	9.622285	9.908492	2.2402000427246094
38	Gene_39	h1	1	13.667187	9.622285	9.908492	1.351656436920166
39	Gene_40	h0	shared	181.8801	8.650626	10.012587	1.6328626871109009
39	Gene_40	h1	0	726.6907	8.68479	10.001173	1.4961050748825073
