node_name	is_leaf	sim_expr	read_count
c0	False	2.0372342549130957	
c6	False	2.6510702047854053	
c46	False	2.737269560189003	
c56	False	3.3004409627395903	
c70	False	3.7234831821446934	
c90	False	2.25183138726842	
c108	False	2.1614859472667307	
c168	False	2.132539597300197	
c447	False	3.106846985756102	
c1124	False	2.306375155420198	
c3218	False	-0.505888186542157	
c3729	False	-1.3709658558770719	
c4393	False	-1.7419729768226149	
c5357	True	0.18823799529938867	1.0
c5358	True	0.1782962890546855	0.0
c4394	False	-1.33988482876958	
c5127	True	0.14702695274316813	0.0
c5128	True	0.20735171392016283	0.0
c3730	False	-0.1677271727405965	
c4429	False	-0.3602864023332768	
c5159	True	0.44172440763045934	0.0
c5160	True	0.3110787004141033	2.0
c4430	False	-0.26937673038056614	
c5185	True	0.7446539007959481	1.0
c5186	True	0.4445521648006161	0.0
c1907	False	3.7568276286851114	
c3863	False	4.056156832112109	
c4647	False	4.41051748194907	
c5355	True	4.1213515434219765	3.0
c5356	True	4.983493675640557	7.0
c4648	False	4.154700760544655	
c4985	True	3.4945949541686763	0.0
c4986	True	4.011815910009125	2.0
c2829	False	4.389164459586798	
c4340	False	2.6790239819857042	
c5289	True	2.4950146189852282	3.0
c5290	True	2.92372953402653	2.0
c4322	False	3.4233745676974086	
c5325	True	3.3557904148141944	5.0
c5326	True	3.1979819176379407	3.0
c648	False	3.6175494587961077	
c3433	False	0.28450389406871546	
c4530	False	1.9431438435792474	
c5055	True	1.94480922955977	1.0
c5056	True	2.1953582682740467	3.0
c4186	False	-0.2534064108788099	
c5133	True	0.526345279547671	1.0
c5134	True	0.27529441806157223	0.0
c4326	False	1.6015842232083268	
c5115	True	1.7940326374957298	1.0
c5116	True	1.7187240776797468	3.0
c1348	False	3.012569603869389	
c1506	False	2.8754677970886777	
c2652	False	1.7869078281566342	
c3193	False	1.1665950275090882	
c4492	False	0.8715900325970716	
c5371	True	1.3503715358126374	1.0
c5372	True	0.7134735737689455	0.0
c4631	False	1.3075012582191865	
c4999	True	1.4610674251589864	1.0
c5000	True	0.9994998371389782	0.0
c3692	False	1.1636851639974848	
c4335	False	0.680965054640416	
c4907	True	1.2159527151316945	2.0
c4908	True	1.4513704541532686	1.0
c4336	False	1.2841821081461802	
c4981	True	1.3549991064541445	0.0
c4982	True	2.64599155859807	2.0
c3952	False	0.04551629136261681	
c4615	False	-0.13577121257698216	
c5317	True	1.0167498418515801	0.0
c5318	True	0.7174060516530815	1.0
c4616	False	0.003900905556667722	
c5011	True	0.5547360537969478	1.0
c5012	True	0.5404563997433023	1.0
c3098	False	1.0853702940504248	
c4362	False	1.337388515959682	
c5341	True	1.4195000157140518	2.0
c5342	True	1.488541731231662	4.0
c4611	False	0.30073946960298137	
c5217	True	0.6212852624967771	0.0
c5218	True	1.3458172067175722	2.0
c140	False	2.468121469314951	
c1314	False	2.0505384573633956	
c2837	False	1.9580727821232853	
c3896	False	1.0822215002447901	
c4499	False	0.19315700570709926	
c4971	True	1.3931215483634045	3.0
c4972	True	0.7447694299591712	0.0
c4500	False	1.3996318943356532	
c4979	True	1.1907218071527474	0.0
c4980	True	2.2031583664252383	1.0
c4292	False	2.2776991517088474	
c5249	True	2.6102744572025065	2.0
c5250	True	1.7777803529185727	2.0
c4578	False	2.6154067132217964	
c5027	True	2.2286179294510418	3.0
c5028	True	1.8690463258741468	1.0
c2671	False	3.967015474430409	
c3934	False	5.555457641500238	
c4645	False	5.555941077328226	
c5359	True	5.409665054581853	5.0
c5360	True	5.857155521603439	6.0
c4646	False	5.502499610175366	
c5347	True	5.341609477329628	5.0
c5348	True	5.242726981832769	6.0
c3787	False	4.019832810010656	
c4279	False	3.8271703636204215	
c5153	True	4.059716879577189	2.0
c5154	True	3.7025390068207233	9.0
c4280	False	3.3234357689005694	
c5007	True	2.45800519442394	2.0
c5008	True	3.307313824090727	2.0
c129	False	2.0625487479665305	
c157	False	2.3827145268478507	
c203	False	2.8748397503268692	
c294	False	2.9670229017950898	
c1228	False	3.611085126270463	
c1516	False	3.8043977312832555	
c3416	False	4.854601138227652	
c3809	False	5.325456868108102	
c4465	False	5.812370167906277	
c5191	True	5.615959845079119	5.0
c5192	True	5.95852394219931	4.0
c4466	False	5.456039269769342	
c5403	True	5.084597123605324	6.0
c5404	True	5.807781462486155	10.0
c4414	False	4.6140592040835084	
c4963	True	4.289565911804915	6.0
c4964	True	5.260357178565786	7.0
c1988	False	4.191367076953202	
c4546	False	5.180474328859674	
c5203	True	5.567758743501718	5.0
c5204	True	4.673695601953011	9.0
c4269	False	5.953252131254759	
c5059	True	5.949191424288902	8.0
c5060	True	6.390754994743436	6.0
c3741	False	3.7308761008008933	
c4637	False	3.4412568591974004	
c5193	True	4.139425668845782	6.0
c5194	True	3.893179426895207	8.0
c4638	False	4.885420669734835	
c5163	True	5.090800337499714	5.0
c5164	True	4.511219626587041	2.0
c367	False	3.275487083365374	
c1847	False	5.064668179820925	
c3201	False	8.252213430375182	
c4417	False	7.791184395000077	
c5241	True	8.013154495030493	9.0
c5242	True	6.938864227901608	8.0
c4206	False	8.215657925997885	
c4995	True	8.383691908574471	9.0
c4996	True	7.927584548513596	7.0
