node_name	is_leaf	sim_expr	read_count
c0	False	3.3771532336165633	
c6	False	2.5738755440629846	
c46	False	1.1738972699791541	
c56	False	1.8226264689162486	
c70	False	2.3782342260464624	
c90	False	2.2246764724098176	
c255	False	2.28800212710269	
c316	False	2.5072331627567106	
c397	False	2.4776069968803975	
c632	False	1.5499352149256649	
c756	False	1.5350332773143545	
c906	False	1.9179819120073207	
c1054	False	2.0644207400580896	
c1693	False	1.9549526802893245	
c2646	False	2.267134637632154	
c3205	False	2.46841581720338	
c3828	False	2.6404076066843545	
c4607	False	2.6593306043940603	
c5197	True	2.653485936687701	7.0
c5198	True	2.764206386690328	4.0
c4608	False	3.5095906460360418	
c4897	True	3.043780760273884	2.0
c4898	True	3.0845271219068953	4.0
c4278	False	1.8749108088788309	
c5147	True	2.014468342918423	3.0
c5148	True	2.685767331197275	2.0
c3570	False	3.259635678713202	
c4473	False	3.149198823363211	
c4905	True	3.348383707336282	1.0
c4906	True	3.2020163359433016	6.0
c4474	False	3.2080491645577918	
c4895	True	3.7563357417420726	6.0
c4896	True	3.301358611413111	2.0
c1933	False	1.1601137529223817	
c3991	False	-0.005994677599370446	
c4541	False	0.9225558452524922	
c5413	True	1.1074619302914195	2.0
c5414	True	0.9370999873025763	0.0
c4542	False	-0.6446055791716134	
c5175	True	0.49872780138906375	0.0
c5176	True	0.3637028501860019	0.0
c3848	False	0.8623310998929321	
c4425	False	1.148532543535156	
c5251	True	2.131339315543395	0.0
c5252	True	1.5690016510211398	4.0
c4426	False	-0.18361359238506303	
c5361	True	0.4523905979874006	0.0
c5362	True	0.5602715551761815	0.0
c2871	False	3.9598745228723358	
c3680	False	3.8176037938723453	
c4477	False	3.46412993601338	
c5269	True	3.2992045246693436	1.0
c5270	True	3.527085995424636	8.0
c4478	False	3.6790414809491576	
c4945	True	3.32849830571695	0.0
c4946	True	2.639324041325257	0.0
c4202	False	4.363887532884021	
c4967	True	4.670177658285301	2.0
c4968	True	3.853709165280035	3.0
c3806	False	1.7598257572889466	
c4333	False	2.2661018471248298	
c5199	True	2.806692374276029	0.0
c5200	True	1.6206512036671752	1.0
c4334	False	1.6603532854232468	
c4901	True	1.2343297974525387	7.0
c4902	True	2.979696285520644	4.0
c3404	False	-0.21572583775326248	
c3669	False	-0.8485076305494136	
c4257	False	-0.9867181027184303	
c4903	True	0.5517481997830966	1.0
c4904	True	0.3643582711185714	0.0
c4258	False	-0.2960148682424348	
c5281	True	0.4951960190620823	0.0
c5282	True	0.7081248986893237	0.0
c3670	False	-0.028715194610327857	
c4351	False	-0.3097774222417162	
c5367	True	0.6794795462994534	0.0
c5368	True	0.72950469100602	1.0
c4352	False	-0.7495629301365135	
c5417	True	0.2586046328224621	1.0
c5418	True	0.18369135611449758	0.0
c1481	False	1.7542141771988242	
c1822	False	1.8019503693527488	
c2941	False	1.9572773746619925	
c3247	False	1.5191677875426206	
c3658	False	0.854081011949805	
c4623	False	1.4534292245220963	
c5031	True	1.092773153133333	0.0
c5032	True	1.8525581777711206	0.0
c4624	False	1.1146714764999581	
c5109	True	1.649589434149359	2.0
c5110	True	1.7927325976100328	1.0
c4641	False	2.3373828530623526	
c5069	True	2.423625235633065	2.0
c5070	True	3.2294693617161605	3.0
c4604	False	1.630799408437916	
c4943	True	1.237528723994521	1.0
c4944	True	1.393748506309223	0.0
c3879	False	1.5885245989433314	
c4573	False	2.2775940589005543	
c5205	True	3.1418712547393564	3.0
c5206	True	1.6341976286243518	5.0
c4574	False	2.065913282134003	
c5167	True	1.6658960373194622	1.0
c5168	True	2.0691767059836286	2.0
c3249	False	0.22385635865270892	
c4568	False	-0.3047310601842067	
c4917	True	0.8230872204016962	0.0
c4918	True	0.8620666030038756	2.0
c4210	False	0.3490650897146814	
c5389	True	0.6088049739511382	1.0
c5390	True	1.3303493509316582	0.0
c1677	False	3.774205190160328	
c3581	False	1.9095631634874561	
c4593	False	2.4421791186173905	
c4933	True	2.5916531153199744	5.0
c4934	True	3.5622736719830415	4.0
c4594	False	1.812582146507773	
c5399	True	1.7962882356335936	3.0
c5400	True	2.5754754935614113	4.0
c3068	False	2.426747912715258	
c4199	False	2.983923262468613	
c4961	True	2.7275035471023883	6.0
c4962	True	2.358587762090539	0.0
c4375	False	2.409578655899887	
c5301	True	2.7766457127141204	6.0
c5302	True	2.6931212010832897	3.0
c437	False	2.748442070595586	
c641	False	2.2419231843481593	
c800	False	2.7064968528781703	
c1688	False	1.8843616753043722	
c2074	False	1.5571700926278016	
c2349	False	1.3415371186446534	
c3843	False	1.4040320104242494	
c4569	False	1.988430531433183	
c4973	True	1.7747662928166905	0.0
c4974	True	1.86683055677721	1.0
c4570	False	1.267645117467035	
c5261	True	1.4146884740642653	1.0
c5262	True	1.968246260982036	0.0
c4328	False	0.9847795812662753	
c5067	True	1.4979475292715827	1.0
c5068	True	1.934578203438745	2.0
c4639	False	2.0508035856822646	
c5219	True	2.797029980433406	4.0
c5220	True	2.3492404220483096	4.0
c4656	False	2.5121162026714328	
c5187	True	2.134180127996893	2.0
c5188	True	1.8732492552781848	3.0
c3814	False	2.436443805770198	
c4557	False	3.0635520079876404	
c5353	True	3.3397432199776906	1.0
c5354	True	2.7162195171439505	4.0
c4558	False	2.5039077595865105	
c5119	True	2.3819084736258422	4.0
c5120	True	2.231944331529371	2.0
c3384	False	2.407554775583218	
c4525	False	2.0316794901834863	
c5035	True	3.1034466525401383	4.0
c5036	True	2.6513650865125133	3.0
c4396	False	2.7692924927664215	
c5331	True	2.4633536339938824	1.0
c5332	True	2.5672389694236397	7.0
c2458	False	2.2426479948315814	
c3213	False	2.788675986000831	
c3891	False	2.8367890295562845	
c4241	False	2.252722971494521	
c4991	True	2.041731576115764	0.0
c4992	True	2.2059494003324227	1.0
c4242	False	2.726672608108483	
c4975	True	2.837543261424121	3.0
c4976	True	2.7588898962093364	4.0
c3892	False	1.6717458750342868	
c4191	False	1.5609604465528581	
c5267	True	2.64153143342288	2.0
c5268	True	1.8206392693717768	0.0
c4192	False	0.6148799167655501	
c4947	True	1.0526181979496676	3.0
