label	n_samples_per_replicate	n_replicates	total_importance_samples	proposal	mix	q_scale	seed	batch_size	n_requested_genes	selection_rank	ID	gene	elbo_h0_nll_no_constant	elbo_h1_nll_no_constant	observation_constant_added	elbo_h0_nll	elbo_h1_nll	is_h0_nll	is_h1_nll	elbo_lr	is_lr	is_minus_elbo_lr	h0_is_ess	h1_is_ess	min_is_ess	min_is_ess_fraction	h0_is_loglik_mc_se	h1_is_loglik_mc_se	h0_replicate_loglik_se	h1_replicate_loglik_se	h0_replicate_loglik_sd	h1_replicate_loglik_sd	lr_replicate_mc_se	p_chisq	q_chisq	signif_chisq
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	1	88	Gene_89	148.69586	149.3922	1018.2640825752333	1166.9599425752333	1167.6562825752333	1152.2100830078125	1152.7764892578125	-1.3926697	-1.1328125	0.2598571999999999	1.2578442096710205	1.6532726287841797	1.2578442096710205	0.0008189089906712373	0.891558825969696	0.7775623798370361	1.6275081634521484	1.7547968626022339	2.8189268112182617	3.0393972396850586	4.786687850952148	1.0	1.0	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	2	353	Gene_354	-370.0894	-370.0485	1768.6070885286854	1398.5176885286853	1398.5585885286855	1388.3941650390625	1387.9473876953125	-0.08178711	0.8935546875	0.9753417975	2.864992618560791	1.636281132698059	1.636281132698059	0.0010652871957669656	0.5904373526573181	0.7815920114517212	1.300724744796753	1.2175503969192505	2.2529213428497314	2.108859062194824	3.5633208751678467	1.0	1.0	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	3	87	Gene_88	157.30609	156.73508	1090.9811690765832	1248.2872590765833	1247.7162490765832	1239.408447265625	1238.9215087890625	1.1420288	0.973876953125	-0.16815184687500007	6.418160438537598	6.036942481994629	6.036942481994629	0.003930301095048587	0.3940274119377136	0.4063284993171692	0.0672813206911087	0.3253796100616455	0.11653465777635574	0.5635740160942078	0.6645259261131287	0.2852240379042184	0.3008692382955891	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	4	68	Gene_69	314.8789	314.01233	755.0836366847947	1069.9625366847947	1069.0959666847948	1050.7432861328125	1051.25732421875	1.7331543	-1.028076171875	-2.761230471875	1.0031784772872925	1.006224513053894	1.0031784772872925	0.0006531109878172477	0.9984128475189209	0.9968986511230469	2.9449095726013184	2.4076173305511475	5.100732803344727	4.1701154708862305	7.607657432556152	0.1880085654851749	0.203472473468804	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	5	171	Gene_172	-308.93964	-310.15735	1695.7002507929064	1386.7606107929064	1385.5429007929065	1373.956787109375	1372.1605224609375	2.4354248	3.592529296875	1.1571044968750002	1.5256540775299072	1.215890645980835	1.215890645980835	0.0007915954726437727	0.809463381767273	0.9068206548690796	2.6965980529785156	3.244436025619507	4.670644760131836	5.619527816772461	8.437536239624023	0.1186217560144009	0.1320954966752794	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	6	210	Gene_211	-232.78233	-234.52147	1576.3594538504212	1343.5771238504212	1341.8379838504213	1334.4044189453125	1333.3140869140625	3.4782715	2.1806640625	-1.2976074375	1.4235974550247192	3.0340921878814697	1.4235974550247192	0.0009268212597817183	0.8380034565925598	0.573716402053833	0.9426280856132507	0.5596689581871033	1.6326797008514404	0.9693750739097595	2.192511796951294	0.0621796574023264	0.0713069465623009	False
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	7	354	Gene_355	466.10733	463.9008	593.7909326075546	1059.8982626075547	1057.6917326075545	1053.5909423828125	1051.339111328125	4.413086	4.503662109375	0.09057610937500016	4.616321563720703	3.6558661460876465	3.6558661460876465	0.0023801211888591447	0.46487799286842346	0.5225496292114258	0.3662932217121124	0.8227983713150024	0.6344384551048279	1.4251285791397095	1.8012971878051758	0.035664268622767	0.0421563458897955	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	8	71	Gene_72	113.234436	110.67645	1090.025098916849	1203.259534916849	1200.7015489168489	1192.4906005859375	1189.544677734375	5.115967	5.891845703125	0.7758787031249996	1.6571863889694214	1.365233302116394	1.365233302116394	0.000888823764398694	0.7766408324241638	0.8557441830635071	0.9983676671981812	1.468169093132019	1.7292234897613525	2.5429434776306152	3.550920009613037	0.0237066536690421	0.0289105532549294	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	9	478	Gene_479	343.1065	340.2275	783.0791461477406	1126.1856461477405	1123.3066461477406	1115.5718994140625	1112.5208740234375	5.7579956	6.10205078125	0.3440551812499999	2.931504249572754	1.73356032371521	1.73356032371521	0.0011286200024187565	0.5836881399154663	0.759323000907898	0.6392235159873962	0.8812781572341919	1.1071676015853882	1.5264185667037964	2.1773910522460938	0.01641378596709	0.0206203341295101	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	10	137	Gene_138	-70.88118	-74.47868	1308.0854639910963	1237.2042839910962	1233.6067839910963	1225.6968994140625	1222.6383056640625	7.1950073	6.1171875	-1.0778198000000003	4.326188564300537	2.410677909851074	2.410677909851074	0.0015694517642259598	0.4802595376968384	0.6437697410583496	1.0718824863433838	1.0729084014892578	1.8565548658370972	1.8583317995071411	3.0331926345825195	0.0073106692442537	0.0094943756418879	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	11	472	Gene_473	232.96402	228.77014	943.9739909816955	1176.9380109816955	1172.7441309816954	1166.467041015625	1164.2012939453125	8.387756	4.531494140625	-3.8562618593749995	1.2050683498382568	1.1969695091247559	1.1969695091247559	0.000779277024169763	0.9108868837356567	0.9139657020568848	1.3607678413391113	1.3182780742645264	2.356919050216675	2.2833244800567627	3.789219617843628	0.0037775691582699	0.0050773779009005	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	12	127	Gene_128	317.23584	312.53564	816.8870215815896	1134.1228615815896	1129.4226615815896	1124.5804443359375	1120.9322509765625	9.400391	7.29638671875	-2.104004281250001	4.535499572753906	2.9500784873962402	2.9500784873962402	0.0019206240152319272	0.4690139889717102	0.5818437933921814	0.3704409599304199	0.9072812795639038	0.6416225433349609	1.5714572668075562	1.959985613822937	0.0021693921789752	0.0030214375751744	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	13	235	Gene_236	283.31696	278.28558	809.9697031142468	1093.286663114247	1088.2552831142468	1078.59765625	1075.72216796875	10.062744	5.7509765625	-4.3117674375	2.1721324920654297	2.982670545578003	2.1721324920654297	0.0014141487578550975	0.6782515048980713	0.5786505937576294	0.4262104034423828	0.36693301796913147	0.7382180690765381	0.6355466246604919	1.1248024702072144	0.001512977046038	0.0021863830145058	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	14	100	Gene_101	429.80283	424.29877	624.4366789605252	1054.2395089605252	1048.7354489605252	1046.1739501953125	1041.4593505859375	11.008118	9.42919921875	-1.5789187812499996	6.83638334274292	6.327361106872559	6.327361106872559	0.004119375720620155	0.3817325234413147	0.39685627818107605	0.2660354971885681	0.22488035261631012	0.46078696846961975	0.38950419425964355	0.6966952085494995	0.0009071372126878	0.001357989839353	True
t5r5	512	3	1536	overdispersed	0.8	2.0	20240625	4	40	15	61	Gene_62	328.9936	322.6554	634.6848223951117	963.6784223951117	957.3402223951117	947.1883544921875	942.6370849609375	12.676392	9.1025390625	-3.5738529375	1.3017150163650513	1.5352702140808105	1.3017150163650513	0.0008474707137793303	0.8763930797576904	0.8069216012954712	1.3723007440567017	1.0190016031265259	2.376894474029541	1.7649625539779663	3.418522357940674	0.0003703015084022	0.0005767936267947	True
