ID	gene	hypothesis	regime	r	alpha	sigma	theta
25	Gene_26	h1	0	403.59717	6.83792	8.75375	0.027295291423797607
25	Gene_26	h1	1	403.59717	6.83792	8.75375	1.8947219848632812
26	Gene_27	h0	shared	12.501976	3.514497	7.621404	1.891398
26	Gene_27	h1	0	6.561536	16.45176	10.209703	1.2910085916519165
26	Gene_27	h1	1	6.561536	16.45176	10.209703	6.87067174911499
27	Gene_28	h0	shared	120.32591	3.4592412	7.7379804	-0.770013
27	Gene_28	h1	0	145.01852	10.953579	10.206816	-1.222253680229187
27	Gene_28	h1	1	145.01852	10.953579	10.206816	3.762354850769043
28	Gene_29	h0	shared	33.453266	3.1100981	7.198204	2.0155394
28	Gene_29	h1	0	23.056583	7.9734025	9.091938	1.298662543296814
28	Gene_29	h1	1	23.056583	7.9734025	9.091938	6.395431995391846
29	Gene_30	h0	shared	20.741783	3.9431574	8.376536	0.80414283
29	Gene_30	h1	0	16.902863	8.946804	10.175715	0.2477354109287262
29	Gene_30	h1	1	16.902863	8.946804	10.175715	4.700578689575195
30	Gene_31	h0	shared	38.683746	5.0351987	8.469506	1.992136
30	Gene_31	h1	0	37.05049	9.894557	10.228658	1.4986082315444946
30	Gene_31	h1	1	37.05049	9.894557	10.228658	4.782336711883545
31	Gene_32	h0	shared	24.073015	6.032468	9.040546	2.8632498
31	Gene_32	h1	0	12.3277645	14.985928	10.862235	2.3966660499572754
31	Gene_32	h1	1	12.3277645	14.985928	10.862235	5.789987564086914
32	Gene_33	h0	shared	64.58284	3.7696881	7.9010367	1.2875459
32	Gene_33	h1	0	401.19028	6.756734	9.12284	0.832862913608551
32	Gene_33	h1	1	401.19028	6.756734	9.12284	4.707430362701416
33	Gene_34	h0	shared	132.45706	15.804077	12.362911	-1.5544598
33	Gene_34	h1	0	85.82322	19.85077	12.862427	-1.8482880592346191
33	Gene_34	h1	1	85.82322	19.85077	12.862427	-0.1472655087709427
34	Gene_35	h0	shared	31.587475	8.119647	10.41927	2.4405649
34	Gene_35	h1	0	55.312378	9.592087	11.051359	2.1417183876037598
34	Gene_35	h1	1	55.312378	9.592087	11.051359	3.8609800338745117
35	Gene_36	h0	shared	240.13019	3.6809387	8.223746	2.1596756
35	Gene_36	h1	0	1096.6332	5.200672	9.01213	1.639312982559204
35	Gene_36	h1	1	1096.6332	5.200672	9.01213	4.92391300201416
36	Gene_37	h0	shared	76.81722	3.3902314	8.060062	-0.60263795
36	Gene_37	h1	0	85.02396	9.948832	10.505181	-1.22314453125
36	Gene_37	h1	1	85.02396	9.948832	10.505181	3.9801275730133057
37	Gene_38	h0	shared	57.525646	5.0925274	8.5533085	0.87011224
37	Gene_38	h1	0	310.45105	7.6996303	9.767868	0.5575205683708191
37	Gene_38	h1	1	310.45105	7.6996303	9.767868	2.977358341217041
38	Gene_39	h0	shared	63.32696	6.707463	8.995837	0.7553124
38	Gene_39	h1	0	244.03511	10.746754	10.232116	0.3492308557033539
38	Gene_39	h1	1	244.03511	10.746754	10.232116	2.806445598602295
39	Gene_40	h0	shared	31.416658	3.4213176	8.189161	2.141855
39	Gene_40	h1	0	25.428934	11.738558	11.462989	1.2264143228530884
39	Gene_40	h1	1	25.428934	11.738558	11.462989	6.9200873374938965
40	Gene_41	h0	shared	66.855446	4.6097484	8.426202	3.3318324
40	Gene_41	h1	0	43.214577	9.989832	10.340015	2.6883468627929688
40	Gene_41	h1	1	43.214577	9.989832	10.340015	6.545469760894775
41	Gene_42	h0	shared	48.30665	4.0332475	7.809795	1.5110325
41	Gene_42	h1	0	82.88256	10.264261	9.92139	0.882027268409729
41	Gene_42	h1	1	82.88256	10.264261	9.92139	5.372598171234131
42	Gene_43	h0	shared	61.415485	6.3062243	7.8795447	1.659705
42	Gene_43	h1	0	40.73549	12.260181	9.323898	1.2811802625656128
42	Gene_43	h1	1	40.73549	12.260181	9.323898	3.80302095413208
43	Gene_44	h0	shared	25.672943	5.090887	8.847855	0.4761444
43	Gene_44	h1	0	263.87216	11.579059	11.527287	-0.04783494397997856
43	Gene_44	h1	1	263.87216	11.579059	11.527287	3.2656311988830566
44	Gene_45	h0	shared	61.53364	5.256959	8.044149	1.1596397
