node_name,regime
c5018,0
c5374,0
c5120,0
c5077,0
c5022,0
c5395,0
c5098,0
c4926,0
c4972,0
c4960,0
c5025,0
c5101,0
c5254,0
c5108,0
c5039,0
c5349,0
c5119,0
c4942,0
c5050,0
c4973,0
c5223,0
c4988,0
c4924,0
c5290,0
c5293,0
c5279,0
c5010,0
c5113,0
c5110,0
c5351,0
c4962,0
c5398,0
c5235,0
c5138,0
c5125,0
c5370,0
c4918,0
c5134,0
c5295,0
c4912,0
c5102,0
c5133,0
c5323,0
c5418,0
c5368,0
c4935,0
c4945,0
c5381,0
c5402,0
c5278,0
c4952,0
c5027,0
c5499,1
c5477,1
c5460,1
c5532,1
c5537,1
c5512,1
c5494,1
c5533,1
c5444,1
c5493,1
c5429,1
c5478,1
c5463,1
c5482,1
c5464,1
c5439,1
c5453,1
c5508,1
c5509,1
c5542,1
c5458,1
c5491,1
c5510,1
c5440,1
c5448,1
c5489,1
c5515,1
c5503,1
c5436,1
c5521,1
c5475,1
c5504,1
c5424,1
c5490,1
c5422,1
c5524,1
c5506,1
c5535,1
c5500,1
c5528,1
c5485,1
c5467,1
c5427,1
c5511,1
c5450,1
c5502,1
c5488,1
c5531,1
c5445,1
c5452,1
c5540,1
c5492,1
c5483,1
c5501,1
c5507,1
c5446,1
c5455,1
c5487,1
c5523,1
c5435,1
c5468,1
c5539,1
c5474,1
c5481,1
c5426,1
c5438,1
c5470,1
c5461,1
c5518,1
c5525,1
c5505,1
c5441,1
c5534,1
c5486,1
c5522,1
c5431,1
c5469,1
c5430,1
c5498,1
c5479,1
c5520,1
c5480,1
c5496,1
c5519,1
c5434,1
c5529,1
c5421,1
c5514,1
c5473,1
c5425,1
c5462,1
c5517,1
c5527,1
c5536,1
c5476,1
c5495,1
c5423,1
c5442,1
c5541,1
c5456,1
c5471,1
c5454,1
c5432,1
c5459,1
c5437,1
c5447,1
c5466,1
c5538,1
c5451,1
c5526,1
c5419,1
c5497,1
c5530,1
c5443,1
c5472,1
c5420,1
c5449,1
c5484,1
c5465,1
c5428,1
c5516,1
c5513,1
c5433,1
c4255,0
c4521,0
c4468,0
c4290,0
c4278,0
c4653,0
c4378,0
c4586,0
c4417,0
c4311,0
c4358,0
c4574,0
c4571,0
c4400,0
c4370,0
c4472,0
c4318,0
c4488,0
c4639,0
c4563,0
c4345,0
c4569,0
c4587,0
c4241,0
c4606,0
c4628,0
c4499,0
c4447,0
c4341,0
c4455,0
c4393,0
c4465,0
c4206,0
c4595,0
c4534,0
c4448,0
c4510,0
c4324,0
c4411,0
c4473,0
c4601,0
c4509,0
c4596,0
c4588,0
c4261,0
c4244,0
c4356,0
c4323,0
c4237,0
c4576,0
c4444,0
c4227,0
c4573,0
c4479,0
c4254,0
c4349,0
c4578,0
c4616,0
c4332,0
c4355,0
c4279,0
c4439,0
c4191,0
c4197,0
c4235,0
c4638,0
c4312,0
c4489,0
c4218,0
c4412,0
c4425,0
c4334,0
c4583,0
c4292,0
c4594,0
c4387,0
c4604,0
c4477,0
c4374,0
c4284,0
c4329,0
c4470,0
c4443,0
c4598,0
c4322,0
c4280,0
c4371,0
c4199,0
c4555,0
c4485,0
c4484,0
c4251,0
c4192,0
c4572,0
c4471,0
c4607,0
c4467,0
c4503,0
c4264,0
c4248,0
c4492,0
c4394,0
c4597,0
c4456,0
c4624,0
c4557,0
c4247,0
c4256,0
c4263,0
c4381,0
c4242,0
c4350,0
c4608,0
c4648,0
c4440,0
c4520,0
c4187,0
c4258,0
c4486,0
c4283,0
c4314,0
c4542,0
c4478,0
c4636,0
c4568,0
c4431,0
c4276,0
c4516,0
c4615,0
c4530,0
c4198,0
c4250,0
c4605,0
c4360,0
c4514,0
c4307,0
c4384,0
c4647,0
c4637,0
c4436,0
c4183,0
c4269,0
c4382,0
c4224,0
c4429,0
c4336,0
c4335,0
c4351,0
c4519,0
c4593,0
c4396,0
c4362,0
c4433,0
c4475,0
c4451,0
c4454,0
c4462,0
c4626,0
c4435,0
c4262,0
c4460,0
c4463,0
c4623,0
c4281,0
c4656,0
c4308,0
c4257,0
c4333,0
c4389,0
c4426,0
c4515,0
c4613,0
c4554,0
c4617,0
c4236,0
c4570,0
c4273,0
c4330,0
c4625,0
c4644,0
c4543,0
c4649,0
c4631,0
c4541,0
c4266,0
c4646,0
c4369,0
c4549,0
c4416,0
c4340,0
c4288,0
c4343,0
c4506,0
c4546,0
c4342,0
c4260,0
c4564,0
c4188,0
c4461,0
