ID	gene	hypothesis	regime	r	alpha	sigma	theta
27	Gene_28	h1	0	593.722	7.477445	7.8137355	-0.2913382351398468
27	Gene_28	h1	1	593.722	7.477445	7.8137355	2.270352363586426
28	Gene_29	h0	shared	380.18085	5.1790056	7.1306324	2.038215160369873
28	Gene_29	h1	0	816.4978	5.788449	7.2494617	1.7690260410308838
28	Gene_29	h1	1	816.4978	5.788449	7.2494617	3.5141701698303223
29	Gene_30	h0	shared	378.29172	5.3648524	7.0804276	1.212325096130371
29	Gene_30	h1	0	734.6416	6.4396443	7.3100333	0.9085608124732971
29	Gene_30	h1	1	734.6416	6.4396443	7.3100333	2.7810614109039307
30	Gene_31	h0	shared	140.96164	7.9267483	8.106435	-0.9107176065444946
30	Gene_31	h1	0	532.7978	7.90305	8.093289	-0.9897015690803528
30	Gene_31	h1	1	532.7978	7.90305	8.093289	-0.5714894533157349
31	Gene_32	h0	shared	146.14484	4.3697867	6.6327724	1.8267288208007812
31	Gene_32	h1	0	1096.6332	5.432501	6.8874793	1.4798729419708252
31	Gene_32	h1	1	1096.6332	5.432501	6.8874793	3.7985455989837646
32	Gene_33	h0	shared	342.71048	3.9304264	7.0659804	2.605489492416382
32	Gene_33	h1	0	846.9709	4.387749	7.2005906	2.3408124446868896
32	Gene_33	h1	1	846.9709	4.387749	7.2005906	4.297445774078369
33	Gene_34	h0	shared	501.48285	4.730357	6.764912	1.3631278276443481
33	Gene_34	h1	0	984.106	5.009014	6.8318095	1.174204707145691
33	Gene_34	h1	1	984.106	5.009014	6.8318095	2.3817708492279053
34	Gene_35	h0	shared	324.361	6.743403	7.141919	2.250493288040161
34	Gene_35	h1	0	632.14246	9.931943	7.534545	1.8662010431289673
34	Gene_35	h1	1	632.14246	9.931943	7.534545	4.132667541503906
35	Gene_36	h0	shared	96.572945	6.097496	7.506561	0.5056891441345215
35	Gene_36	h1	0	394.86133	9.813373	8.501461	0.1958875209093094
35	Gene_36	h1	1	394.86133	9.813373	8.501461	2.276015043258667
36	Gene_37	h0	shared	421.80527	9.03188	7.914872	2.062960624694824
36	Gene_37	h1	0	621.4174	9.016482	7.890227	1.9725546836853027
36	Gene_37	h1	1	621.4174	9.016482	7.890227	2.4626550674438477
37	Gene_38	h0	shared	74.60124	6.1703806	8.204145	0.3559229075908661
37	Gene_38	h1	0	326.04565	7.2320743	8.413363	-0.0043763029389083385
37	Gene_38	h1	1	326.04565	7.2320743	8.413363	2.0716869831085205
38	Gene_39	h0	shared	270.40652	7.619443	7.4630322	1.0758157968521118
38	Gene_39	h1	0	547.0299	9.0252075	7.73456	0.8588097095489502
38	Gene_39	h1	1	547.0299	9.0252075	7.73456	2.114253044128418
39	Gene_40	h0	shared	287.58395	5.821774	7.2543926	1.6529995203018188
39	Gene_40	h1	0	681.6434	6.024769	7.283478	1.4915432929992676
39	Gene_40	h1	1	681.6434	6.024769	7.283478	2.4976961612701416
40	Gene_41	h0	shared	170.72754	8.655193	8.526469	1.2906954288482666
40	Gene_41	h1	0	424.8059	9.154419	8.456878	1.0052118301391602
40	Gene_41	h1	1	424.8059	9.154419	8.456878	2.752729892730713
41	Gene_42	h0	shared	218.38635	4.79325	6.6482615	1.2548720836639404
41	Gene_42	h1	0	604.6728	7.228899	7.272768	0.8566769957542419
41	Gene_42	h1	1	604.6728	7.228899	7.272768	3.2881479263305664
42	Gene_43	h0	shared	630.68555	4.9884677	6.785304	0.6482199430465698
42	Gene_43	h1	0	879.6107	5.8205967	7.0517893	0.42877864837646484
42	Gene_43	h1	1	879.6107	5.8205967	7.0517893	1.9340753555297852
43	Gene_44	h0	shared	188.46638	6.172316	7.2327213	2.3091013431549072
43	Gene_44	h1	0	632.6729	7.160693	7.4762278	2.0472168922424316
43	Gene_44	h1	1	632.6729	7.160693	7.4762278	3.5162508487701416
44	Gene_45	h0	shared	90.958084	4.3261576	6.976317	0.9099376201629639
44	Gene_45	h1	0	625.6722	5.1676064	7.1223817	0.537338137626648
44	Gene_45	h1	1	625.6722	5.1676064	7.1223817	3.0988380908966064
45	Gene_46	h0	shared	217.64377	4.183695	7.3448586	0.7489489912986755
45	Gene_46	h1	0	589.71796	4.372336	7.4250035	0.5572040677070618
45	Gene_46	h1	1	589.71796	4.372336	7.4250035	1.8631503582000732
46	Gene_47	h0	shared	373.49942	4.1620455	6.7528605	0.8576144576072693
46	Gene_47	h1	0	586.04266	4.19216	6.739931	0.7155108451843262
46	Gene_47	h1	1	586.04266	4.19216	6.739931	1.6592278480529785
47	Gene_48	h0	shared	173.86339	9.68176	7.574783	2.493265390396118
47	Gene_48	h1	0	665.2796	9.562979	7.554079	2.444521427154541
47	Gene_48	h1	1	665.2796	9.562979	7.554079	2.7095470428466797
48	Gene_49	h0	shared	221.4586	4.4659634	6.6245365	1.1317496299743652
48	Gene_49	h1	0	674.2416	4.65356	6.6182904	0.8772822618484497
48	Gene_49	h1	1	674.2416	4.65356	6.6182904	2.5573720932006836
49	Gene_50	h0	shared	111.06275	5.8650184	7.392004	1.9455934762954712
49	Gene_50	h1	0	715.73193	6.084935	7.391647	1.7112290859222412
49	Gene_50	h1	1	715.73193	6.084935	7.391647	3.1429004669189453
50	Gene_51	h0	shared	545.41425	6.2251472	7.324541	1.75746488571167
50	Gene_51	h1	0	600.68286	6.278548	7.30343	1.619933009147644
50	Gene_51	h1	1	600.68286	6.278548	7.30343	2.415363073348999
51	Gene_52	h0	shared	321.6206	3.7976508	6.4262595	1.9416121244430542
51	Gene_52	h1	0	727.7945	3.973999	6.4302874	1.6764464378356934
51	Gene_52	h1	1	727.7945	3.973999	6.4302874	3.5186803340911865
52	Gene_53	h0	shared	277.55853	5.860571	6.739687	1.2085318565368652
52	Gene_53	h1	0	916.9273	6.119853	6.8152075	1.0686979293823242
52	Gene_53	h1	1	916.9273	6.119853	6.8152075	1.9252678155899048
53	Gene_54	h0	shared	318.23065	13.71714	9.893792	-1.1283950805664062
53	Gene_54	h1	0	330.1105	15.470394	9.947439	-1.3751617670059204
53	Gene_54	h1	1	330.1105	15.470394	9.947439	0.04475702717900276
54	Gene_55	h0	shared	152.47119	5.551506	6.728459	0.8591993451118469
54	Gene_55	h1	0	728.00415	6.1982236	6.850135	0.5853409767150879
54	Gene_55	h1	1	728.00415	6.1982236	6.850135	2.2203710079193115
55	Gene_56	h0	shared	105.16685	5.9491262	7.8330107	1.4112749099731445
55	Gene_56	h1	0	734.7079	7.1138854	8.104583	1.0567986965179443
55	Gene_56	h1	1	734.7079	7.1138854	8.104583	3.067498207092285
56	Gene_57	h0	shared	80.866135	6.251817	7.935108	0.3012995719909668
56	Gene_57	h1	0	533.80835	7.407755	8.210666	0.015186824835836887
56	Gene_57	h1	1	533.80835	7.407755	8.210666	1.7644922733306885
57	Gene_58	h0	shared	445.7678	5.8854513	7.6918497	2.4447319507598877
57	Gene_58	h1	0	1096.6332	6.3331285	7.7941594	2.227452516555786
57	Gene_58	h1	1	1096.6332	6.3331285	7.7941594	3.5736563205718994
58	Gene_59	h0	shared	273.1216	8.849557	8.754737	-0.7218501567840576
58	Gene_59	h1	0	502.68658	9.232766	8.825899	-0.8383985757827759
58	Gene_59	h1	1	502.68658	9.232766	8.825899	-0.14843429625034332
59	Gene_60	h0	shared	277.5342	6.0220556	7.0119953	0.912591814994812
59	Gene_60	h1	0	593.3691	6.40774	7.0130477	0.6536444425582886
59	Gene_60	h1	1	593.3691	6.40774	7.0130477	2.1852006912231445
60	Gene_61	h0	shared	410.8417	5.2014837	7.391513	0.23159216344356537
60	Gene_61	h1	0	522.92303	5.9248805	7.6470113	0.034264229238033295
60	Gene_61	h1	1	522.92303	5.9248805	7.6470113	1.2939037084579468
61	Gene_62	h0	shared	324.68347	6.6591043	7.84599	0.9869138598442078
61	Gene_62	h1	0	461.64304	6.5986333	7.763871	0.857761561870575
61	Gene_62	h1	1	461.64304	6.5986333	7.763871	1.640161395072937
62	Gene_63	h0	shared	104.29714	5.202517	6.999487	0.9992694854736328
62	Gene_63	h1	0	819.97925	6.3534336	7.232917	0.661245584487915
62	Gene_63	h1	1	819.97925	6.3534336	7.232917	2.859386920928955
63	Gene_64	h0	shared	189.64444	5.220904	7.266747	1.4357342720031738
63	Gene_64	h1	0	944.98193	7.4544163	7.800458	1.0054748058319092
63	Gene_64	h1	1	944.98193	7.4544163	7.800458	3.5300607681274414
64	Gene_65	h0	shared	153.65297	3.6826818	7.136097	0.12191938608884811
64	Gene_65	h1	0	563.0214	4.011029	7.200703	-0.20481768250465393
64	Gene_65	h1	1	563.0214	4.011029	7.200703	2.170348882675171
65	Gene_66	h0	shared	196.0892	5.7523518	8.56756	0.45716291666030884
65	Gene_66	h1	0	521.5646	5.8062167	8.59938	0.36214232444763184
65	Gene_66	h1	1	521.5646	5.8062167	8.59938	0.9338970184326172
66	Gene_67	h0	shared	131.04369	6.6801033	8.237123	-0.05644793435931206
66	Gene_67	h1	0	373.29587	8.33512	8.6284	-0.4157717823982239
66	Gene_67	h1	1	373.29587	8.33512	8.6284	1.5524239540100098
67	Gene_68	h0	shared	252.40152	7.1835847	7.132685	1.5298244953155518
67	Gene_68	h1	0	827.9104	7.23994	7.128085	1.4322552680969238
67	Gene_68	h1	1	827.9104	7.23994	7.128085	1.9890692234039307
68	Gene_69	h0	shared	413.73102	6.6701875	7.389783	1.9746522903442383
68	Gene_69	h1	0	745.6358	7.4163246	7.52069	1.7423774003982544
68	Gene_69	h1	1	745.6358	7.4163246	7.52069	3.204730987548828
69	Gene_70	h0	shared	247.30278	7.0371037	7.5918155	0.04271311312913895
69	Gene_70	h1	0	600.68964	7.5765305	7.708218	-0.16406165063381195
69	Gene_70	h1	1	600.68964	7.5765305	7.708218	0.965707540512085
70	Gene_71	h0	shared	213.12326	5.0606084	8.082211	0.5537633895874023
70	Gene_71	h1	0	570.30444	5.5995564	8.250585	0.25900110602378845
70	Gene_71	h1	1	570.30444	5.5995564	8.250585	1.9972196817398071
71	Gene_72	h0	shared	324.32944	3.2927895	6.3985996	1.0876777172088623
71	Gene_72	h1	0	569.51965	3.282903	6.353246	0.9003323912620544
71	Gene_72	h1	1	569.51965	3.282903	6.353246	2.3047149181365967
72	Gene_73	h0	shared	189.18175	6.449391	7.3255053	0.3119622766971588
72	Gene_73	h1	0	503.02924	9.872287	7.8928037	-0.08796220272779465
72	Gene_73	h1	1	503.02924	9.872287	7.8928037	2.188516139984131
73	Gene_74	h0	shared	252.95515	3.7221391	7.0334926	2.3600926399230957
73	Gene_74	h1	0	901.5541	4.684095	7.3532367	1.956851840019226
73	Gene_74	h1	1	901.5541	4.684095	7.3532367	4.724545001983643
74	Gene_75	h0	shared	299.58447	4.013899	6.349144	2.340240955352783
74	Gene_75	h1	0	1072.5693	5.4315114	6.6455145	1.8921096324920654
74	Gene_75	h1	1	1072.5693	5.4315114	6.6455145	4.831986904144287
75	Gene_76	h0	shared	382.5998	5.2117586	6.8976264	2.1431894302368164
75	Gene_76	h1	0	683.65344	6.067402	7.068006	1.8364770412445068
75	Gene_76	h1	1	683.65344	6.067402	7.068006	3.733048439025879
