ID	gene	hypothesis	regime	r	alpha	sigma	theta
28	Gene_29	h0	shared	57.674786	6.3021464	9.004753	2.6185576915740967
28	Gene_29	h1	0	182.69359	7.025899	9.386377	2.4045467376708984
28	Gene_29	h1	1	182.69359	7.025899	9.386377	3.7056262493133545
29	Gene_30	h0	shared	80.91304	8.754123	8.339854	0.21318210661411285
29	Gene_30	h1	0	477.37076	8.71708	8.372429	0.19101805984973907
29	Gene_30	h1	1	477.37076	8.71708	8.372429	0.2745739817619324
30	Gene_31	h0	shared	79.58915	6.889712	9.750163	-1.6824300289154053
30	Gene_31	h1	0	65.38006	6.869628	9.735568	-1.715323805809021
30	Gene_31	h1	1	65.38006	6.869628	9.735568	-1.5352531671524048
31	Gene_32	h0	shared	104.98482	13.101219	10.229943	-0.7658762335777283
31	Gene_32	h1	0	197.75546	13.169251	10.213285	-0.8674473166465759
31	Gene_32	h1	1	197.75546	13.169251	10.213285	-0.3359953761100769
32	Gene_33	h0	shared	123.039185	8.675742	8.785595	1.8411743640899658
32	Gene_33	h1	0	379.1813	8.652381	8.796993	1.7366334199905396
32	Gene_33	h1	1	379.1813	8.652381	8.796993	2.3151562213897705
33	Gene_34	h0	shared	217.6303	6.919202	8.262016	0.8882986903190613
33	Gene_34	h1	0	479.58115	8.035527	8.610556	0.6818152070045471
33	Gene_34	h1	1	479.58115	8.035527	8.610556	1.9000459909439087
34	Gene_35	h0	shared	23.308342	11.738373	10.328239	1.9276272058486938
34	Gene_35	h1	0	30.078032	11.5487585	10.318046	1.7931938171386719
34	Gene_35	h1	1	30.078032	11.5487585	10.318046	2.5137126445770264
35	Gene_36	h0	shared	51.074078	5.7103434	8.762363	0.6651913523674011
35	Gene_36	h1	0	307.9211	5.6867023	8.843275	0.6157451868057251
35	Gene_36	h1	1	307.9211	5.6867023	8.843275	0.8523750305175781
36	Gene_37	h0	shared	39.418644	10.1480055	9.475526	1.3785500526428223
36	Gene_37	h1	0	65.38623	10.8988085	9.652277	1.1849515438079834
36	Gene_37	h1	1	65.38623	10.8988085	9.652277	2.242621898651123
37	Gene_38	h0	shared	96.566956	5.2750998	8.606064	0.7079572081565857
37	Gene_38	h1	0	475.9443	5.460807	8.680372	0.4739744961261749
37	Gene_38	h1	1	475.9443	5.460807	8.680372	1.9084528684616089
38	Gene_39	h0	shared	62.554985	5.8024364	9.518953	-0.6515545845031738
38	Gene_39	h1	0	207.22626	5.8143215	9.574473	-0.6198373436927795
38	Gene_39	h1	1	207.22626	5.8143215	9.574473	-0.8743698000907898
39	Gene_40	h0	shared	46.757347	9.715736	8.359812	0.3295908272266388
39	Gene_40	h1	0	445.53235	9.692243	8.391151	0.2107618898153305
39	Gene_40	h1	1	445.53235	9.692243	8.391151	0.8040537238121033
40	Gene_41	h0	shared	91.69955	8.114283	8.9632435	0.8233655691146851
40	Gene_41	h1	0	446.7292	8.163502	9.017427	0.731963574886322
40	Gene_41	h1	1	446.7292	8.163502	9.017427	1.2223103046417236
41	Gene_42	h0	shared	61.801937	8.83522	9.792887	1.9827593564987183
41	Gene_42	h1	0	302.67737	8.933194	9.965695	2.024406909942627
41	Gene_42	h1	1	302.67737	8.933194	9.965695	1.7606568336486816
42	Gene_43	h0	shared	45.493683	6.9936194	8.349727	2.317018747329712
42	Gene_43	h1	0	56.142555	7.0983224	8.338019	2.1182961463928223
42	Gene_43	h1	1	56.142555	7.0983224	8.338019	3.2466349601745605
43	Gene_44	h0	shared	52.851288	6.12041	8.76941	1.2676206827163696
43	Gene_44	h1	0	448.19775	6.0859118	8.863808	1.225382685661316
43	Gene_44	h1	1	448.19775	6.0859118	8.863808	1.422317385673523
44	Gene_45	h0	shared	27.708677	5.5840015	8.164586	0.7965622544288635
44	Gene_45	h1	0	25.235216	5.477308	7.996567	0.5903655886650085
44	Gene_45	h1	1	25.235216	5.477308	7.996567	1.8997527360916138
45	Gene_46	h0	shared	31.800272	13.200995	11.360287	3.040079116821289
45	Gene_46	h1	0	40.815147	13.443837	11.463742	2.930814504623413
45	Gene_46	h1	1	40.815147	13.443837	11.463742	3.494188070297241
46	Gene_47	h0	shared	336.36163	7.8531914	8.562481	0.30344313383102417
46	Gene_47	h1	0	499.51248	8.785356	8.800257	0.07551950961351395
46	Gene_47	h1	1	499.51248	8.785356	8.800257	1.3605610132217407
47	Gene_48	h0	shared	57.06951	14.727502	10.751984	1.0384526252746582
47	Gene_48	h1	0	109.30236	16.049385	11.134755	0.8799915313720703
47	Gene_48	h1	1	109.30236	16.049385	11.134755	1.7499760389328003
48	Gene_49	h0	shared	38.221523	5.596762	8.324647	0.25973546504974365
48	Gene_49	h1	0	238.17967	5.6378627	8.364047	0.06496156007051468
48	Gene_49	h1	1	238.17967	5.6378627	8.364047	1.207956075668335
49	Gene_50	h0	shared	52.27082	4.9086246	8.168103	0.64174884557724
49	Gene_50	h1	0	461.93323	4.8741007	8.2101145	0.5595618486404419
49	Gene_50	h1	1	461.93323	4.8741007	8.2101145	1.0304003953933716
50	Gene_51	h0	shared	39.054634	6.912029	8.76831	1.4948911666870117
50	Gene_51	h1	0	501.86176	6.865028	8.885494	1.4600286483764648
50	Gene_51	h1	1	501.86176	6.865028	8.885494	1.6011723279953003
51	Gene_52	h0	shared	59.025585	6.7674727	9.432095	0.6422082781791687
51	Gene_52	h1	0	216.32974	6.780329	9.530513	0.6613427996635437
51	Gene_52	h1	1	216.32974	6.780329	9.530513	0.47647833824157715
52	Gene_53	h0	shared	63.226692	9.1253195	10.939931	1.7678468227386475
52	Gene_53	h1	0	277.52954	9.167868	11.08806	1.7633572816848755
52	Gene_53	h1	1	277.52954	9.167868	11.08806	1.7512364387512207
53	Gene_54	h0	shared	36.58277	8.181625	9.6009865	0.9963664412498474
53	Gene_54	h1	0	132.22548	8.122042	9.731713	0.976607084274292
53	Gene_54	h1	1	132.22548	8.122042	9.731713	1.025010585784912
54	Gene_55	h0	shared	120.25371	9.260867	9.717474	0.6336100101470947
54	Gene_55	h1	0	400.11105	9.325693	9.755674	0.5691043734550476
54	Gene_55	h1	1	400.11105	9.325693	9.755674	0.9220554828643799
55	Gene_56	h0	shared	17.79904	8.108175	10.089756	2.139475107192993
55	Gene_56	h1	0	20.377104	8.285454	10.262221	2.169635534286499
55	Gene_56	h1	1	20.377104	8.285454	10.262221	1.9444500207901
56	Gene_57	h0	shared	80.01473	14.632347	9.865595	-0.546712338924408
56	Gene_57	h1	0	312.45325	14.777946	9.892809	-0.6568251848220825
56	Gene_57	h1	1	312.45325	14.777946	9.892809	-0.09350064396858215
57	Gene_58	h0	shared	85.77061	8.559809	9.561211	1.6435319185256958
57	Gene_58	h1	0	425.32904	8.529566	9.616964	1.5913623571395874
57	Gene_58	h1	1	425.32904	8.529566	9.616964	1.8545900583267212
58	Gene_59	h0	shared	14.596306	13.499463	10.743724	2.077956438064575
58	Gene_59	h1	0	11.474818	15.054171	10.832524	1.917006254196167
58	Gene_59	h1	1	11.474818	15.054171	10.832524	2.8310844898223877
59	Gene_60	h0	shared	103.2849	10.201815	9.46188	0.9131115674972534
59	Gene_60	h1	0	350.72937	10.620598	9.564332	0.7475424408912659
59	Gene_60	h1	1	350.72937	10.620598	9.564332	1.6321015357971191
60	Gene_61	h0	shared	18.727224	11.962252	11.320512	2.126140594482422
60	Gene_61	h1	0	15.535676	12.48855	11.301667	1.998123288154602
60	Gene_61	h1	1	15.535676	12.48855	11.301667	2.7350504398345947
61	Gene_62	h0	shared	25.438961	15.496935	11.130422	2.588580369949341
61	Gene_62	h1	0	21.94734	17.523996	11.46158	2.4199182987213135
61	Gene_62	h1	1	21.94734	17.523996	11.46158	3.33428692817688
62	Gene_63	h0	shared	73.691765	8.091178	9.659547	1.463822364807129
62	Gene_63	h1	0	131.35873	11.84026	10.766542	1.090052843093872
62	Gene_63	h1	1	131.35873	11.84026	10.766542	3.1769604682922363
63	Gene_64	h0	shared	204.22171	6.026446	8.850091	-1.1900683641433716
63	Gene_64	h1	0	309.28876	6.3410883	8.871418	-1.4889897108078003
63	Gene_64	h1	1	309.28876	6.3410883	8.871418	0.23922456800937653
64	Gene_65	h0	shared	72.56405	6.4982615	8.908661	1.6324337720870972
64	Gene_65	h1	0	266.00183	7.447091	9.344268	1.3740681409835815
64	Gene_65	h1	1	266.00183	7.447091	9.344268	2.8899714946746826
65	Gene_66	h0	shared	48.339447	8.247842	9.326057	0.6978222727775574
65	Gene_66	h1	0	390.893	8.629941	9.531946	0.8156098127365112
65	Gene_66	h1	1	390.893	8.629941	9.531946	0.10710470378398895
66	Gene_67	h0	shared	243.95946	6.341266	8.755609	0.9429382085800171
66	Gene_67	h1	0	424.0411	6.476186	8.687704	0.6709746718406677
66	Gene_67	h1	1	424.0411	6.476186	8.687704	2.2692928314208984
67	Gene_68	h0	shared	263.86584	3.579309	7.098451	-0.3113136887550354
67	Gene_68	h1	0	458.75058	3.7708745	7.1770263	-0.5384299159049988
67	Gene_68	h1	1	458.75058	3.7708745	7.1770263	1.0587291717529297
68	Gene_69	h0	shared	51.72103	5.6832776	8.596227	0.8490411043167114
68	Gene_69	h1	0	273.43436	6.0002317	8.846075	0.6991887092590332
68	Gene_69	h1	1	273.43436	6.0002317	8.846075	1.621093988418579
69	Gene_70	h0	shared	32.950043	7.1175146	9.745739	2.558525323867798
69	Gene_70	h1	0	207.4769	7.6277437	10.27817	2.415424346923828
69	Gene_70	h1	1	207.4769	7.6277437	10.27817	3.201413631439209
70	Gene_71	h0	shared	350.78323	6.3857775	8.536903	1.4737519025802612
70	Gene_71	h1	0	416.94696	6.77808	8.666987	1.3070495128631592
70	Gene_71	h1	1	416.94696	6.77808	8.666987	2.337737798690796
71	Gene_72	h0	shared	36.167427	6.628321	8.748471	1.3084242343902588
71	Gene_72	h1	0	501.21652	6.889255	9.036848	1.2194976806640625
71	Gene_72	h1	1	501.21652	6.889255	9.036848	1.7159005403518677
72	Gene_73	h0	shared	319.77487	10.343821	9.37973	0.7311183214187622
72	Gene_73	h1	0	471.49072	10.208646	9.327056	0.6626142263412476
72	Gene_73	h1	1	471.49072	10.208646	9.327056	1.0404151678085327
73	Gene_74	h0	shared	24.73197	5.499627	9.06578	2.7449209690093994
73	Gene_74	h1	0	22.731157	5.421669	8.969263	2.7777109146118164
73	Gene_74	h1	1	22.731157	5.421669	8.969263	2.55629301071167
74	Gene_75	h0	shared	23.405048	6.1265254	7.9132237	1.9451850652694702
74	Gene_75	h1	0	399.83716	6.1178875	8.103498	1.7856382131576538
74	Gene_75	h1	1	399.83716	6.1178875	8.103498	2.674278974533081
75	Gene_76	h0	shared	62.64083	6.15211	8.404782	0.32315829396247864
75	Gene_76	h1	0	519.1196	6.1321526	8.444545	0.3366098701953888
75	Gene_76	h1	1	519.1196	6.1321526	8.444545	0.2152280956506729
76	Gene_77	h0	shared	135.46443	8.118098	8.928723	0.016875477507710457
76	Gene_77	h1	0	444.0672	8.251329	8.970815	-0.09493564069271088
76	Gene_77	h1	1	444.0672	8.251329	8.970815	0.5404222011566162
77	Gene_78	h0	shared	183.03017	6.190766	8.687316	0.2815133333206177
77	Gene_78	h1	0	362.1658	6.6098166	8.7564	0.0024485953617841005
77	Gene_78	h1	1	362.1658	6.6098166	8.7564	1.6471644639968872
78	Gene_79	h0	shared	40.416817	13.3993025	9.9919405	1.2472221851348877
78	Gene_79	h1	0	247.24289	14.36983	10.245445	1.0243151187896729
78	Gene_79	h1	1	247.24289	14.36983	10.245445	2.1794564723968506
79	Gene_80	h0	shared	28.449055	12.534957	11.511513	3.602386713027954
79	Gene_80	h1	0	37.62184	12.994511	11.819582	3.4743571281433105
79	Gene_80	h1	1	37.62184	12.994511	11.819582	4.175914287567139
80	Gene_81	h0	shared	70.415375	6.0623064	8.369411	1.4653382301330566
80	Gene_81	h1	0	713.11346	6.196784	8.503288	1.3958253860473633
80	Gene_81	h1	1	713.11346	6.196784	8.503288	1.7580598592758179
81	Gene_82	h0	shared	83.98309	7.3901896	8.988818	1.3344247341156006
81	Gene_82	h1	0	502.32333	7.4167805	9.070329	1.3068090677261353
81	Gene_82	h1	1	502.32333	7.4167805	9.070329	1.4452860355377197
82	Gene_83	h0	shared	21.622301	13.858981	10.247411	-0.08828716725111008
82	Gene_83	h1	0	15.795595	14.138866	10.182099	-0.09890464693307877
82	Gene_83	h1	1	15.795595	14.138866	10.182099	0.0209922194480896
83	Gene_84	h0	shared	130.18811	9.576769	8.669768	0.02812834456562996
83	Gene_84	h1	0	543.52704	10.254635	8.8781805	-0.07064317911863327
83	Gene_84	h1	1	543.52704	10.254635	8.8781805	0.518546998500824
84	Gene_85	h0	shared	27.94632	14.7980995	11.10903	3.2221150398254395
84	Gene_85	h1	0	115.71824	14.196671	11.38437	3.2674100399017334
84	Gene_85	h1	1	115.71824	14.196671	11.38437	2.960690498352051
85	Gene_86	h0	shared	248.12312	10.813703	9.748702	-0.9818488359451294
85	Gene_86	h1	0	315.92294	10.878883	9.754813	-0.9256730079650879
85	Gene_86	h1	1	315.92294	10.878883	9.754813	-1.2154277563095093
86	Gene_87	h0	shared	150.7604	4.90197	8.476728	1.5835890769958496
86	Gene_87	h1	0	390.26108	5.082483	8.539647	1.368242621421814
86	Gene_87	h1	1	390.26108	5.082483	8.539647	2.7090020179748535
87	Gene_88	h0	shared	37.417328	5.543999	8.97891	1.336134672164917
87	Gene_88	h1	0	52.035862	6.6470013	9.494397	1.083695650100708
87	Gene_88	h1	1	52.035862	6.6470013	9.494397	2.8288731575012207
88	Gene_89	h0	shared	50.677647	10.258244	9.774256	1.3758033514022827
88	Gene_89	h1	0	117.38142	10.757339	10.013307	1.3018789291381836
88	Gene_89	h1	1	117.38142	10.757339	10.013307	1.6873726844787598
89	Gene_90	h0	shared	255.32877	10.920396	9.050752	0.18890996277332306
89	Gene_90	h1	0	340.33594	14.165761	9.545381	-0.10235292464494705
89	Gene_90	h1	1	340.33594	14.165761	9.545381	1.5146106481552124
90	Gene_91	h0	shared	103.39671	9.984384	10.767425	2.893537759780884
90	Gene_91	h1	0	428.5258	10.027061	10.880984	2.852278709411621
90	Gene_91	h1	1	428.5258	10.027061	10.880984	3.0454468727111816
91	Gene_92	h0	shared	191.32326	5.302963	8.081352	0.8014814853668213
91	Gene_92	h1	0	408.5535	7.3271284	8.670475	0.41129523515701294
91	Gene_92	h1	1	408.5535	7.3271284	8.670475	2.944148302078247
92	Gene_93	h0	shared	256.34705	18.402996	10.444687	-1.1335426568984985
92	Gene_93	h1	0	328.60913	19.0805	10.508742	-1.2429341077804565
92	Gene_93	h1	1	328.60913	19.0805	10.508742	-0.6404735445976257
93	Gene_94	h0	shared	55.416813	6.275791	8.843012	0.4031389057636261
