node_name	is_leaf	regime	infer_mu	infer_var
c0	False	0	1.4216481294307652	7.045919570052556
c6	False	0	1.4391943832672127	7.0320327805711536
c20	False	0	1.7495196325439346	7.021135739876219
c31	False	0	1.743416719938173	7.016357761697098
c124	False	0	1.5531957448784273	6.924939388869383
c183	False	0	1.8086830710993214	6.851282427166546
c802	False	1	3.7897940803636976	6.338682507766934
c4297	False	1	3.8087935341053276	2.099550919852203
c5101	True	1	3.996687480477379	1.284232984776779
c5102	True	1	3.6081860956631036	1.364465110545482
c1114	False	1	4.497700100348787	5.720834293165747
c1483	False	1	4.562097982470008	5.247369049176898
c3122	False	1	4.088913358502596	3.012063458691102
c4345	False	1	3.3342724391049523	1.9288491093055338
c5025	True	1	3.016140889045644	1.310875055252138
c5026	True	1	3.2232345810841796	1.2496523358514608
c3856	False	1	4.266177311801155	2.2156021178205663
c4187	False	1	3.961238409823326	1.7651367434377017
c5375	True	1	3.2093980751672015	1.3611105335969407
c5376	True	1	4.255653182168157	1.157121184398165
c4188	False	1	4.554360230508624	1.761757906947809
c5387	True	1	4.340837186330583	1.2953321925113712
c5388	True	1	4.822795178358727	1.2074466215291557
c1982	False	1	4.584869229836126	5.181670005002472
c4290	False	1	7.5041943734988354	2.1708693792482956
c5231	True	1	7.831425780526791	1.3785493253945307
c5232	True	1	7.355956169096789	1.5230502764675993
c4332	False	1	1.744614625672673	2.0774537382281033
c5315	True	1	1.887330439751218	1.137253893143267
c5316	True	1	1.184667366264546	1.5004072829997788
c2255	False	1	5.511295874376798	3.9729835898259
c2601	False	1	5.834173730998624	3.3724487543972863
c4224	False	1	5.999064777658265	2.1027784174667596
c5061	True	1	5.269108422361914	1.5612404151315464
c5062	True	1	6.460174843462717	1.3726412557806127
c3344	False	1	5.800090552669552	2.7603497471192937
c4273	False	1	5.349897302697731	1.9727021334538155
c5179	True	1	5.450180337948298	1.324919094900939
c5180	True	1	4.730789345522127	1.4531406030809153
c3974	False	1	5.636058499206101	2.1788289620652446
c4383	False	1	5.482741500465704	1.8054229141130338
c5113	True	1	5.8045503374633975	1.1806581221472408
c5114	True	1	4.64789730077458	1.5345388284474064
c4384	False	1	5.244743004747044	1.8035460716616696
c5087	True	1	4.4236808331912165	1.4213725633415102
c5088	True	1	5.3471871795673085	1.2807155100173282
c3840	False	1	4.796179605279129	2.3758179826573205
c4207	False	1	4.3941959933646455	1.8253343683785888
c4899	True	1	4.189865140177655	1.3111363170273662
c4900	True	1	3.985086902678243	1.3099394693788007
c4208	False	1	4.771817232847928	1.8175000661940808
c4931	True	1	4.471734874137834	1.3182975453786703
c4932	True	1	4.784648134081609	1.2722663203568685
c226	False	0	1.7809962683192309	6.829520712274356
c283	False	0	1.7357745195873255	6.806308572735644
c795	False	0	1.7638626855644264	6.74802678135867
c3643	False	0	0.8406269633264072	2.421352108514603
c4323	False	0	0.807896707698137	1.7698737222328196
c5141	True	0	0.8305452831809246	1.152557918469327
c5142	True	0	0.832970807235219	1.2139887722019764
c4324	False	0	0.8198356893010678	1.7699468152902844
c5391	True	0	0.863433581459086	1.2120762779843892
c5392	True	0	0.8342733410669831	1.1547312565465038
c4358	False	0	3.9260861029247596	2.0525660621093924
c4997	True	0	4.160269118869508	1.2124748902001996
c4998	True	0	3.7831306260289597	1.297626336596811
c736	False	0	1.4585397961288527	6.478981488545027
c4343	False	0	2.3545866741931945	2.001680521043232
c5293	True	0	2.5147474588632606	1.142539106957201
c5294	True	0	2.233539076614262	1.219088248434285
c908	False	0	1.3444015634934687	6.319066606970242
c2969	False	0	1.069774581831512	3.6343475466504667
c3465	False	0	1.1387440003604916	2.81051377528435
c4017	False	0	0.8344072472312959	2.1465783490809622
c4675	False	0	0.7317055952594838	1.7382017946686747
c5527	True	0	1.1683855673479582	1.066120924238898
c5528	True	0	0.2831542807225029	1.405246633527944
c4676	False	0	0.7096142892677784	1.7138743324033077
c5521	True	0	0.23476632190776506	1.3376678625429796
c5522	True	0	1.1535084873702761	1.0330957975868913
c4685	False	0	1.9614480070617795	1.846932997443896
c5535	True	0	2.2798455284958985	1.106078755523097
c5536	True	0	1.9803944221726948	1.2352229150980056
c4752	False	0	0.7581817504652129	1.9984602106045066
