scenario	scenario_title	n	corr	rmse	bias	median_q_std	coverage_2sd
Base	theta1=1	646	0.6990881686007597	1.4835719995671066	-0.3780741519145814	1.3600704499999998	0.9458204334365325
Theta1	theta1=3	646	0.7143986734685596	1.2601303949760418	0.037923358455652575	1.2414988999999998	0.9613003095975232
t5r5	theta1=5	646	0.7946685276485913	1.3923974635306053	-0.3474492120991781	1.293116	0.9535603715170279
t7r5	theta1=7	646	0.7882702399327053	1.4506077976990575	-0.14665695652537492	1.34364035	0.9411764705882353
