scenario	scenario_title	gene	cell	true_latent	saved_terminal_expression	read_count	q_mean	q_std	error	standardized_error	covered_by_2sd
Base	theta1=1	Gene_500	c4895	4.580934365723891	4.591127557131446	10.0	5.641189	1.235044	1.0602546342761086	0.8584751913908399	True
Base	theta1=1	Gene_500	c4896	3.140734116868334	3.1830759493824905	2.0	3.0804853	1.4095292	-0.06024881686833394	-0.04274392958183055	True
Base	theta1=1	Gene_500	c4897	4.680069797255746	4.689305383888585	3.0	2.8155637	1.2416786	-1.8645060972557466	-1.5016012173003115	True
Base	theta1=1	Gene_500	c4898	4.064896341883383	4.081915460034353	2.0	2.324426	1.2816299	-1.7404703418833831	-1.3580132157367608	True
Base	theta1=1	Gene_500	c4899	4.876320412898245	4.883916508768007	2.0	3.006107	1.4297764	-1.870213412898245	-1.308046078322628	True
Base	theta1=1	Gene_500	c4900	5.403853179554272	5.408342299591443	4.0	3.851562	1.3282199	-1.5522911795542718	-1.1687004384998838	True
Base	theta1=1	Gene_500	c4901	2.4275017533631846	2.512079128729137	2.0	1.8668413	1.283706	-0.5606604533631847	-0.43675144726532766	True
Base	theta1=1	Gene_500	c4902	1.7528985237854262	1.912694085371973	1.0	1.1426948	1.2901175	-0.6102037237854263	-0.47298306067891205	True
Base	theta1=1	Gene_500	c4903	1.553381959601149	1.745267115873156	3.0	2.8715599	1.2747527	1.3181779403988507	1.0340656194718008	True
Base	theta1=1	Gene_500	c4904	1.9238503045976318	2.0601659378651687	2.0	2.402052	1.3481374	0.478201695402368	0.3547128767456255	True
Base	theta1=1	Gene_500	c4905	2.461559914752882	2.5434180046552117	2.0	2.3305936	1.3219693	-0.13096631475288234	-0.09906910451920657	True
Base	theta1=1	Gene_500	c4906	2.4513360148761256	2.534001471486239	1.0	1.67093	1.3482603	-0.7804060148761256	-0.5788244413012277	True
Base	theta1=1	Gene_500	c4907	3.8604232013402946	3.881263608979433	8.0	5.4590096	1.348008	1.5985863986597053	1.1858879165848462	True
Base	theta1=1	Gene_500	c4908	3.8604292524980095	3.88126953533392	2.0	3.3396802	1.4677352	-0.5207490524980094	-0.35479768591637606	True
Base	theta1=1	Gene_500	c4909	1.7735985956909817	1.930363966382152	0.0	-0.6335236	1.5020156	-2.407122195690982	-1.6025946705819711	True
Base	theta1=1	Gene_500	c4910	1.0591885386481272	1.3568732128095262	1.0	0.4470119	1.3157779	-0.6121766386481272	-0.4652583377849158	True
Base	theta1=1	Gene_500	c4911	3.8291116693172618	3.850607871035696	2.0	2.0740697	1.269154	-1.7550419693172619	-1.3828439805707282	True
