scenario	scenario_title	gene	cell	true_latent	saved_terminal_expression	read_count	q_mean	q_std	error	standardized_error	covered_by_2sd
Base	theta1=1	Gene_500	c4912	3.4731887311386216	3.5037353607039976	0.0	0.5135654	1.5232049	-2.9596233311386215	-1.943023772532915	True
Base	theta1=1	Gene_500	c4913	5.270305562666179	5.275434426646221	1.0	1.7632658	1.3910769	-3.507039762666179	-2.521096973622507	False
Base	theta1=1	Gene_500	c4914	4.1588029296529285	4.174308349371505	4.0	3.3151767	1.23778	-0.8436262296529287	-0.6815639529261489	True
Base	theta1=1	Gene_500	c4915	2.9264458575370114	2.9786465387801457	2.0	2.0528624	1.3466496	-0.8735834575370114	-0.6487088085401068	True
Base	theta1=1	Gene_500	c4916	3.0165059044595695	3.064316572630364	1.0	1.3839458	1.4071643	-1.6325601044595694	-1.160177318639742	True
Base	theta1=1	Gene_500	c4917	0.2841706176550034	0.8452928248752433	0.0	-0.44421193	1.5131234	-0.7283825476550034	-0.48137683129809733	True
Base	theta1=1	Gene_500	c4918	0.3875759428188638	0.9055956807161972	1.0	0.6224582	1.3562677	0.23488225718113614	0.1731828142638331	True
Base	theta1=1	Gene_500	c4919	3.3620977001797527	3.396172958884938	3.0	3.8290138	1.383791	0.46691609982024707	0.3374180781781693	True
Base	theta1=1	Gene_500	c4920	3.660697389329213	3.686086903810109	4.0	4.1900034	1.3746692	0.529306010670787	0.3850424601575324	True
Base	theta1=1	Gene_500	c4921	4.787026032423716	4.795328684973301	7.0	5.3841376	1.3936421	0.5971115675762837	0.42845402530268256	True
Base	theta1=1	Gene_500	c4922	4.091450672219689	4.108027482572591	5.0	4.772463	1.3840958	0.6810123277803113	0.4920268725476309	True
Base	theta1=1	Gene_500	c4923	6.909977713022794	6.910974995604905	5.0	4.5637083	1.4017096	-2.346269413022794	-1.673862698110075	True
Base	theta1=1	Gene_500	c4924	6.2447267076799635	6.246665487903494	4.0	4.1187882	1.3861829	-2.1259385076799635	-1.5336637810782137	True
Base	theta1=1	Gene_500	c4925	3.7016434275345667	3.72602665423613	1.0	2.0129938	1.485643	-1.6886496275345668	-1.1366456325877528	True
Base	theta1=1	Gene_500	c4926	3.5578667551581193	3.5859677540050314	5.0	3.8828926	1.2593722	0.3250258448418806	0.25808561189605467	True
Base	theta1=1	Gene_500	c4927	1.5189066435165561	1.7168974175659444	0.0	-0.6961997	1.5252532	-2.215106343516556	-1.4522876224856016	True
Base	theta1=1	Gene_500	c4928	1.0908865304093642	1.3805056453156692	0.0	-0.7162827	1.4985111	-1.8071692304093643	-1.2059765392524382	True
Base	theta1=1	Gene_500	c4929	0.9927257637277773	1.3079490023253897	0.0	-0.4408751	1.5367823	-1.4336008637277773	-0.9328587814472988	True
Base	theta1=1	Gene_500	c4930	0.9458961941358621	1.273998784631564	1.0	0.62409663	1.312407	-0.3217995641358621	-0.2451979943233022	True
Base	theta1=1	Gene_500	c4931	6.1788258940679635	6.180896608841431	9.0	5.9157357	1.3582131	-0.2630901940679635	-0.193703178144846	True
Base	theta1=1	Gene_500	c4932	6.1192146277697175	6.121412394158425	5.0	4.842937	1.4169853	-1.2762776277697174	-0.9006992717353649	True
Base	theta1=1	Gene_500	c4933	2.2742894593006056	2.372205310282493	2.0	1.8711954	1.2592782	-0.4030940593006056	-0.32009929124525904	True
Base	theta1=1	Gene_500	c4934	1.222304506263614	1.4804681068217809	0.0	0.27796263	1.5184205	-0.944341876263614	-0.621923819036699	True
Base	theta1=1	Gene_500	c4935	4.417480387481078	4.429472782513589	1.0	1.8608278	1.4417117	-2.5566525874810777	-1.773345244740039	True
Base	theta1=1	Gene_500	c4936	5.666465875283257	5.669919975025808	4.0	3.348568	1.2607288	-2.317897875283257	-1.838538054562771	True
Base	theta1=1	Gene_500	c4937	0.7949575455950327	1.1676242222922104	2.0	1.8960142	1.3018744	1.1010566544049674	0.8457472198585112	True
Base	theta1=1	Gene_500	c4938	1.1670004344364289	1.4380189159056829	2.0	1.928499	1.2990704	0.7614985655635711	0.5861872963648245	True
Base	theta1=1	Gene_500	c4939	2.52122689265875	2.5985220927542825	0.0	0.53059024	1.56956	-1.99063665265875	-1.2682768754674876	True
Base	theta1=1	Gene_500	c4940	2.4189704342572798	2.5042424133552204	2.0	2.079978	1.2970678	-0.33899243425727965	-0.2613529024907408	True
Base	theta1=1	Gene_500	c4941	4.798937549095913	4.807142293336232	9.0	5.764352	1.3566788	0.9654144509040865	0.7116013391703965	True
Base	theta1=1	Gene_500	c4942	4.866942129464853	4.874609525073839	3.0	3.9376915	1.433436	-0.9292506294648528	-0.6482679585728647	True
Base	theta1=1	Gene_500	c4943	-0.9807443933662566	0.3184768753723819	0.0	-1.0151035	1.5481114	-0.03435910663374331	-0.022194208138860878	True
Base	theta1=1	Gene_500	c4944	-0.07519796315906092	0.6562548742093468	0.0	-0.9825653	1.5518055	-0.9073673368409391	-0.5847171806266566	True
Base	theta1=1	Gene_500	c4945	3.8376361612437284	3.8589518284650977	3.0	2.6264057	1.2876834	-1.2112304612437286	-0.9406275341001745	True
Base	theta1=1	Gene_500	c4946	3.303564587187327	3.3396572671621945	2.0	2.1177871	1.3290571	-1.1857774871873268	-0.8921945394124352	True
Base	theta1=1	Gene_500	c4947	0.7809424111376135	1.1579903544954278	0.0	-0.62220365	1.4936237	-1.4031460611376136	-0.9394240739067099	True
Base	theta1=1	Gene_500	c4948	-0.04004175793176828	0.6733267060036776	1.0	0.46114	1.3305988	0.5011817579317682	0.3766588079981496	True
Base	theta1=1	Gene_500	c4949	3.0015420408296296	3.0500563134581307	3.0	2.6590953	1.3058666	-0.34244674082962945	-0.2622371541087194	True
Base	theta1=1	Gene_500	c4950	2.113153527066391	2.227246421568977	1.0	1.5599995	1.410321	-0.553154027066391	-0.3922185283112079	True
Base	theta1=1	Gene_500	c4951	2.0954405548666775	2.211458510486025	2.0	2.3603578	1.2406805	0.2649172451333226	0.21352575875362156	True
Base	theta1=1	Gene_500	c4952	3.443920723568075	3.475360488397557	2.0	2.375981	1.3290266	-1.0679397235680752	-0.8035503003236167	True
Base	theta1=1	Gene_500	c4953	3.4838879347934717	3.5141143455610724	2.0	3.1655018	1.439097	-0.3183861347934718	-0.22124021854918172	True
Base	theta1=1	Gene_500	c4954	4.0578093960853385	4.0749485248096855	7.0	4.933719	1.2970201	0.8759096039146614	0.6753246182650997	True
Base	theta1=1	Gene_500	c4955	2.648371731423994	2.7167463346799634	0.0	0.4327533	1.5269433	-2.215618431423994	-1.451015523250925	True
Base	theta1=1	Gene_500	c4956	2.638918636027451	2.707920754352064	4.0	2.92706	1.1862336	0.28814136397254897	0.24290440261728294	True
Base	theta1=1	Gene_500	c4957	1.7189117000930472	1.8837997828446855	5.0	3.8367362	1.25755	2.117824499906953	1.6840877101562188	True
Base	theta1=1	Gene_500	c4958	1.1925856756551338	1.457589271439379	1.0	2.0126412	1.459224	0.8200555243448662	0.5619805625077892	True
Base	theta1=1	Gene_500	c4959	2.5195873694665583	2.5970046154981974	2.0	1.7816879	1.2617958	-0.7378994694665582	-0.5848010188863825	True
Base	theta1=1	Gene_500	c4960	1.3500891717651864	1.5805793859545922	0.0	0.11020852	1.50494	-1.2398806517651864	-0.823873810095543	True
Base	theta1=1	Gene_500	c4961	2.4933242340681216	2.5727219448824834	0.0	0.9303414	1.554661	-1.5629828340681216	-1.0053528287312292	True
Base	theta1=1	Gene_500	c4962	2.9460010225915267	2.9972162727301925	5.0	3.6881819	1.2494239	0.7421808774084733	0.5940184731606889	True
Base	theta1=1	Gene_500	c4963	3.640457570656436	3.666359534039698	0.0	0.1678133	1.5304224	-3.4726442706564358	-2.2690756948254522	False
Base	theta1=1	Gene_500	c4964	3.0566213506441366	3.102594579756535	3.0	2.3175278	1.2587898	-0.7390935506441365	-0.5871461229222993	True
Base	theta1=1	Gene_500	c4965	5.648826580529147	5.652342040771664	9.0	6.462079	1.4150718	0.813252419470853	0.5747075303676131	True
Base	theta1=1	Gene_500	c4966	4.873535513437725	4.881152712677918	5.0	5.4213796	1.4488654	0.5478440865622751	0.378119379869431	True
Base	theta1=1	Gene_500	c4967	2.5792891590623586	2.6523796511632134	3.0	2.448073	1.2057767	-0.13121615906235862	-0.10882293467966218	True
Base	theta1=1	Gene_500	c4968	2.935603492389997	2.987340420102849	0.0	0.36399162	1.6205921	-2.571611872389997	-1.5868347577345323	True
Base	theta1=1	Gene_500	c4969	0.7429173205804769	1.1320660710170167	0.0	-0.66213614	1.5602849	-1.405053460580477	-0.9005108365661149	True
Base	theta1=1	Gene_500	c4970	-0.1455389859931889	0.6230230536423368	0.0	-0.65238386	1.5686004	-0.5068448740068111	-0.3231191793695903	True
Base	theta1=1	Gene_500	c4971	3.017630572373961	3.06538876273186	2.0	2.0484946	1.2999406	-0.969135972373961	-0.7455232741972679	True
Base	theta1=1	Gene_500	c4972	1.9673240145943351	2.098203617259185	3.0	2.5172725	1.2234573	0.5499484854056647	0.4495036201146249	True
Base	theta1=1	Gene_500	c4973	0.7185683251000553	1.1156313181117172	0.0	-0.72622293	1.5129479	-1.4447912551000552	-0.9549510958705553	True
Base	theta1=1	Gene_500	c4974	1.3805601182085714	1.604853151645482	0.0	-0.70728797	1.51055	-2.0878480882085713	-1.3821774110149092	True
Base	theta1=1	Gene_500	c4975	0.6580354197679484	1.0753419595517348	1.0	0.73436064	1.3046882	0.07632522023205157	0.05850073621578824	True
Base	theta1=1	Gene_500	c4976	0.7333457509316984	1.1255900729114046	1.0	0.768315	1.3228538	0.03496924906830157	0.026434704325074748	True
Base	theta1=1	Gene_500	c4977	5.014239681111952	5.020860396400986	3.0	4.5565143	1.5072243	-0.4577253811119517	-0.3036876336932411	True
Base	theta1=1	Gene_500	c4978	5.882414844993949	5.88519901005108	10.0	6.5520306	1.3856205	0.6696157550060509	0.4832605717121325	True
Base	theta1=1	Gene_500	c4979	1.2663564266601777	1.5146660150767508	0.0	-0.5119069	1.4705468	-1.7782633266601777	-1.2092531340452257	True
Base	theta1=1	Gene_500	c4980	1.1075312170197094	1.3929910038496711	0.0	-0.50794697	1.5250752	-1.6154781870197095	-1.059277724154002	True
Base	theta1=1	Gene_500	c4981	3.4724812299164944	3.503049151816289	2.0	3.1646898	1.3686937	-0.30779142991649433	-0.22487970092687234	True
Base	theta1=1	Gene_500	c4982	3.62430965228744	3.6506277731026175	6.0	4.659238	1.305617	1.0349283477125604	0.792673768580342	True
Base	theta1=1	Gene_500	c4983	1.4724359587595974	1.6789346113939296	0.0	0.4869374	1.4994954	-0.9854985587595975	-0.6572201280241323	True
Base	theta1=1	Gene_500	c4984	3.700806872807403	3.725210258966097	3.0	2.5083401	1.2612494	-1.192466772807403	-0.9454646898602314	True
Base	theta1=1	Gene_500	c4985	3.547563584743657	3.575951517445353	0.0	0.37805662	1.4885467	-3.1695069647436567	-2.129262699479739	False
Base	theta1=1	Gene_500	c4986	4.101537383162732	4.1179491861699855	4.0	2.9347997	1.1867838	-1.166737683162732	-0.9831088721995802	True
Base	theta1=1	Gene_500	c4987	2.7922898103428344	2.851766226761644	1.0	1.5794551	1.4125813	-1.2128347103428345	-0.8585946241415163	True
Base	theta1=1	Gene_500	c4988	2.638321003050482	2.7073629798463967	3.0	2.7057707	1.2448041	0.06744969694951797	0.054184989388706195	True
Base	theta1=1	Gene_500	c4989	0.5450968592869487	1.0023860154734257	1.0	1.1938924	1.3757516	0.6487955407130512	0.47159352074389826	True
Base	theta1=1	Gene_500	c4990	1.0060569943777793	1.3176933084206417	1.0	1.1679058	1.2956569	0.1618488056222207	0.12491640774824006	True
Base	theta1=1	Gene_500	c4991	0.1909209801821606	0.7931571198888281	1.0	0.5177781	1.2813433	0.3268571198178394	0.2550894204682222	True
Base	theta1=1	Gene_500	c4992	-0.2663036226644229	0.5688340005217052	0.0	-0.5207059	1.5582169	-0.25440227733557713	-0.1632649968920098	True
Base	theta1=1	Gene_500	c4993	2.624066543442126	2.6940658224366265	2.0	3.2388103	1.4272392	0.6147437565578739	0.4307223039823135	True
Base	theta1=1	Gene_500	c4994	3.222137053830386	3.261232531567764	9.0	5.537176	1.3007125	2.3150389461696137	1.7798237090591609	True
Base	theta1=1	Gene_500	c4995	3.9854834759016806	4.003896370806781	3.0	3.27086	1.3540204	-0.7146234759016807	-0.5277789580582987	True
Base	theta1=1	Gene_500	c4996	4.51888022355809	4.529722457310117	4.0	3.5846486	1.2883315	-0.9342316235580896	-0.72514847580618	True
Base	theta1=1	Gene_500	c4997	4.524890589773353	4.535668202027799	7.0	5.362353	1.3430841	0.8374624102266468	0.623536836022887	True
Base	theta1=1	Gene_500	c4998	3.974304584915828	3.9929225553380863	5.0	4.7230773	1.393452	0.7487727150841721	0.5373509206518575	True
Base	theta1=1	Gene_500	c4999	4.778551839272555	4.786924854075586	9.0	5.8501086	1.3552302	1.0715567607274457	0.7906824690945092	True
Base	theta1=1	Gene_500	c5000	3.364256130892929	3.3982591548755687	3.0	4.012302	1.473831	0.648045869107071	0.43970161375834205	True
Base	theta1=1	Gene_500	c5001	3.0543435943829644	3.100419280108985	5.0	4.20659	1.3380423	1.1522464056170358	0.8611434822479348	True
Base	theta1=1	Gene_500	c5002	2.0426992793603493	2.164632093066144	3.0	3.430173	1.3404224	1.3874737206396506	1.0351018609056746	True
Base	theta1=1	Gene_500	c5003	4.45481276697479	4.46636824036838	5.0	4.6352315	1.3761677	0.18041873302520983	0.13110228718869787	True
Base	theta1=1	Gene_500	c5004	4.452172083574436	4.463757935319407	6.0	4.8817472	1.274997	0.4295751164255641	0.33692245270033117	True
Base	theta1=1	Gene_500	c5005	4.266138102149043	4.280076395025155	2.0	2.2586267	1.2773143	-2.0075114021490426	-1.571665957352112	True
Base	theta1=1	Gene_500	c5006	3.978674947795479	3.997212476364517	2.0	2.3102477	1.4009364	-1.6684272477954787	-1.190937181584745	True
Base	theta1=1	Gene_500	c5007	2.1529141595342183	2.262795121199741	1.0	1.5915314	1.4056737	-0.5613827595342182	-0.3993691847078154	True
Base	theta1=1	Gene_500	c5008	2.361804349012834	2.45187355502853	3.0	2.656525	1.2791518	0.2947206509871658	0.23040318669540694	True
Base	theta1=1	Gene_500	c5009	5.168445729749997	5.174122994586257	6.0	4.119363	1.2009587	-1.0490827297499967	-0.8735377242781095	True
Base	theta1=1	Gene_500	c5010	4.457392668944753	4.468918539697699	1.0	1.8750968	1.3933005	-2.5822958689447537	-1.8533660677971147	True
Base	theta1=1	Gene_500	c5011	2.439298436850329	2.5229242759804547	2.0	3.000433	1.3945909	0.5611345631496709	0.4023649968959864	True
Base	theta1=1	Gene_500	c5012	2.41320147952059	2.498946249525788	6.0	4.469894	1.2793638	2.05669252047941	1.6075900541186252	True
Base	theta1=1	Gene_500	c5013	0.21708671319779657	0.8075698362088712	0.0	-0.7161163	1.5810167	-0.9332030131977966	-0.5902550005941093	True
Base	theta1=1	Gene_500	c5014	0.5456078697071731	1.0027095140093194	0.0	-0.69727606	1.5484439	-1.242883929707173	-0.8026664251169661	True
Base	theta1=1	Gene_500	c5015	3.9567074728397174	3.975652853938446	3.0	3.3087842	1.3480161	-0.6479232728397175	-0.48064950621859603	True
Base	theta1=1	Gene_500	c5016	4.962467028190708	4.9694383202350965	3.0	3.3080297	1.3848783	-1.6544373281907077	-1.1946445606019733	True
Base	theta1=1	Gene_500	c5017	5.7098222776305825	5.7131300622074335	12.0	6.9182444	1.4064568	1.2084221223694174	0.859196046668065	True
Base	theta1=1	Gene_500	c5018	6.100661974756117	6.102900850092257	4.0	4.806094	1.4310873	-1.2945679747561174	-0.9046044743434711	True
Base	theta1=1	Gene_500	c5019	1.54999816991477	1.742474955924384	1.0	0.7938121	1.3497856	-0.75618606991477	-0.5602268018822916	True
Base	theta1=1	Gene_500	c5020	0.6191591234628528	1.049900070921149	1.0	0.7296059	1.2350582	0.11044677653714718	0.08942637402605576	True
Base	theta1=1	Gene_500	c5021	2.5060760855416095	2.5845061908953912	2.0	2.5825827	1.3345847	0.07650661445839058	0.05732615881059522	True
Base	theta1=1	Gene_500	c5022	1.3683796577867355	1.595131916713063	5.0	3.8134077	1.2589394	2.4450280422132646	1.9421332291397542	True
Base	theta1=1	Gene_500	c5023	7.242069936753349	7.24278550917611	3.0	4.6917634	1.5265828	-2.5503065367533493	-1.670598238597572	True
Base	theta1=1	Gene_500	c5024	5.817748831490074	5.820718710280239	7.0	5.8849936	1.421432	0.06724476850992556	0.04730776323448857	True
Base	theta1=1	Gene_500	c5025	2.79399811488867	2.8533759693177947	3.0	2.9904952	1.3156644	0.1964970851113299	0.14935198148656292	True
Base	theta1=1	Gene_500	c5026	3.7571595025826943	3.780241034469325	2.0	2.4855669	1.3600267	-1.2715926025826945	-0.9349762049397226	True
Base	theta1=1	Gene_500	c5027	1.2842287983467018	1.5286358852400332	1.0	1.2131313	1.3713534	-0.07109749834670187	-0.05184476761912857	True
Base	theta1=1	Gene_500	c5028	1.976847278828809	2.106563468581188	1.0	1.216935	1.3839928	-0.7599122788288089	-0.5490724220738785	True
Base	theta1=1	Gene_500	c5029	1.8097601604285023	1.9613590663179843	1.0	2.0618324	1.4970088	0.2520722395714978	0.16838393974136814	True
Base	theta1=1	Gene_500	c5030	1.555397424475917	1.7469309764910903	6.0	4.161051	1.3141574	2.605653575524083	1.9827560804543525	True
Base	theta1=1	Gene_500	c5031	0.4281348945700372	0.929954179696392	1.0	0.34378225	1.277098	-0.08435264457003722	-0.06605025187576616	True
Base	theta1=1	Gene_500	c5032	0.16971402543157169	0.7816002370028527	0.0	-0.7879303	1.5420685	-0.9576443254315716	-0.621012831421932	True
Base	theta1=1	Gene_500	c5033	-0.1125586759313015	0.6384506892245035	1.0	0.78344357	1.3699405	0.8960022459313015	0.6540446434945908	True
Base	theta1=1	Gene_500	c5034	0.1366846510460757	0.7638230271404386	0.0	-0.21149069	1.5495727	-0.3481753410460757	-0.2246911945764634	True
Base	theta1=1	Gene_500	c5035	3.8592070587661063	3.8800725639815337	7.0	5.209213	1.3658891	1.3500059412338938	0.9883715604977694	True
Base	theta1=1	Gene_500	c5036	2.639036901281096	2.708031134669975	3.0	3.837628	1.4051954	1.1985910987189041	0.8529711232465635	True
Base	theta1=1	Gene_500	c5037	3.0160641727141733	3.063895467799936	3.0	3.6120772	1.4096329	0.5960130272858266	0.42281435633761566	True
Base	theta1=1	Gene_500	c5038	3.5348002118677027	3.563547600677121	7.0	4.967916	1.251715	1.4331157881322971	1.1449217977992572	True
Base	theta1=1	Gene_500	c5039	4.144237823489606	4.159968953920148	3.0	3.4979537	1.3472914	-0.6462841234896057	-0.4796914190126989	True
Base	theta1=1	Gene_500	c5040	4.963383512216243	4.970348440297661	8.0	5.1398673	1.2898688	0.17648378778375662	0.13682305346385354	True
Base	theta1=1	Gene_500	c5041	4.238247612586242	4.252577311932414	3.0	3.4988608	1.3622017	-0.7393868125862415	-0.5427880559730923	True
Base	theta1=1	Gene_500	c5042	3.1439393355504346	3.186148490241586	4.0	3.8912044	1.4017537	0.7472650644495653	0.5330929852010131	True
Base	theta1=1	Gene_500	c5043	2.33428386280079	2.426753500213539	2.0	2.74011	1.330759	0.40582613719921	0.3049584013327808	True
Base	theta1=1	Gene_500	c5044	1.9381251532317405	2.0726329911899777	4.0	3.6249545	1.2563721	1.6868293467682594	1.3426192341968268	True
Base	theta1=1	Gene_500	c5045	2.736490422088483	2.799274930547517	3.0	2.7006438	1.2581589	-0.035846622088483215	-0.028491331332221405	True
Base	theta1=1	Gene_500	c5046	3.545954384481913	3.5743873919801747	1.0	1.5680188	1.391431	-1.977935584481913	-1.4215117993503903	True
Base	theta1=1	Gene_500	c5047	3.9294880045416254	3.948951096358361	0.0	-0.12154976	1.4924752	-4.051037764541626	-2.714308260895475	False
Base	theta1=1	Gene_500	c5048	4.19338624007499	4.208368525675513	1.0	0.8827423	1.346142	-3.3106439400749905	-2.4593571406842596	False
Base	theta1=1	Gene_500	c5049	3.6669416997906694	3.692175145523808	1.0	2.2001877	1.4503727	-1.4667539997906696	-1.011294545043953	True
Base	theta1=1	Gene_500	c5050	4.104563312766049	4.120925933343012	7.0	4.635776	1.2289842	0.5312126872339507	0.4322371981950221	True
Base	theta1=1	Gene_500	c5051	3.1688800079240647	3.210070575749038	1.0	1.3973097	1.3573442	-1.7715703079240646	-1.305173962451134	True
Base	theta1=1	Gene_500	c5052	1.9762231779085067	2.1060153136722763	2.0	2.0666199	1.3061525	0.09039672209149341	0.06920839801745463	True
Base	theta1=1	Gene_500	c5053	4.382690036738632	4.395104369270805	4.0	3.7231534	1.2880051	-0.6595366367386317	-0.5120605785944727	True
Base	theta1=1	Gene_500	c5054	3.2642752499008325	3.301787416194113	3.0	3.3249066	1.3323754	0.060631350099167314	0.04550620650844147	True
Base	theta1=1	Gene_500	c5055	2.7581640777147136	2.8196429922687334	2.0	2.1213434	1.2850367	-0.6368206777147134	-0.49556614041817904	True
Base	theta1=1	Gene_500	c5056	3.2732673613791663	3.3104498921126457	1.0	1.4536049	1.3961401	-1.8196624613791663	-1.3033523364733715	True
Base	theta1=1	Gene_500	c5057	4.473914134854466	4.485252212329105	2.0	3.6911447	1.5355417	-0.7827694348544658	-0.5097676180688977	True
Base	theta1=1	Gene_500	c5058	4.7155309893567985	4.724446239883514	10.0	6.1151295	1.3024911	1.3995985106432016	1.0745551433274299	True
Base	theta1=1	Gene_500	c5059	4.139897555659483	4.155696574094741	2.0	3.3614368	1.4964981	-0.7784607556594834	-0.5201882686382852	True
Base	theta1=1	Gene_500	c5060	3.3804943590063274	3.413958754797481	10.0	5.878088	1.2759688	2.4975936409936725	1.9574096490397512	True
Base	theta1=1	Gene_500	c5061	4.43410744411477	4.445903251167411	1.0	1.5566688	1.383089	-2.87743864411477	-2.0804435897579765	False
Base	theta1=1	Gene_500	c5062	3.777179867113789	3.7998090305875487	2.0	2.1709743	1.3727722	-1.606205567113789	-1.1700452319137793	True
Base	theta1=1	Gene_500	c5063	2.602858998271468	2.674306286427211	3.0	3.169983	1.2801864	0.5671240017285322	0.4430011143131439	True
Base	theta1=1	Gene_500	c5064	2.3450934660933602	2.436613056213936	3.0	3.1393187	1.268361	0.7942252339066398	0.6261823202594843	True
Base	theta1=1	Gene_500	c5065	2.398634018830026	2.4855838544905278	1.0	1.2713968	1.3801947	-1.127237218830026	-0.8167233353598777	True
Base	theta1=1	Gene_500	c5066	2.926317457710664	2.97852466997577	1.0	1.2679719	1.3787769	-1.658345557710664	-1.202765695966232	True
Base	theta1=1	Gene_500	c5067	4.118773831387641	4.13490742735829	1.0	1.1116381	1.3982321	-3.0071357313876415	-2.1506699291109403	False
Base	theta1=1	Gene_500	c5068	4.52233623003224	4.53314125898957	1.0	1.1036037	1.3287724	-3.4187325300322398	-2.572850346705154	False
Base	theta1=1	Gene_500	c5069	1.9425766228452532	2.076525314461891	1.0	1.0315747	1.3615184	-0.9110019228452533	-0.6691073163941473	True
Base	theta1=1	Gene_500	c5070	1.203645718012162	1.466085473432986	2.0	1.6807516	1.2337421	0.477105881987838	0.3867144373105514	True
Base	theta1=1	Gene_500	c5071	5.350404109887654	5.355139114650579	5.0	5.7225204	1.4477369	0.3721162901123458	0.2570330908277228	True
Base	theta1=1	Gene_500	c5072	4.851201032277339	4.858989603516932	10.0	7.0248623	1.4056306	2.173661267722661	1.5463958082035643	True
Base	theta1=1	Gene_500	c5073	4.766767832324062	4.775239679189135	2.0	1.7876152	1.2779377	-2.9791526323240616	-2.3312189884718646	False
Base	theta1=1	Gene_500	c5074	4.5120007389091255	4.522917411740179	0.0	0.11462004	1.530314	-4.397380698909125	-2.8735153039893286	False
Base	theta1=1	Gene_500	c5075	2.1603717288644	2.269479249120129	5.0	3.7159016	1.204279	1.5555298711356	1.2916690161794733	True
Base	theta1=1	Gene_500	c5076	2.4506454765972023	2.5333657385576243	2.0	2.421942	1.2810718	-0.028703476597202293	-0.02240582971009298	True
Base	theta1=1	Gene_500	c5077	2.901428995769741	2.9549172952175486	2.0	2.0915215	1.3156136	-0.8099074957697412	-0.6156119819449579	True
Base	theta1=1	Gene_500	c5078	2.3343726756279217	2.4268344691332566	1.0	1.4106743	1.4160347	-0.9236983756279218	-0.6523133759560565	True
Base	theta1=1	Gene_500	c5079	1.602466051593928	1.7859529659017284	0.0	0.12905638	1.5127214	-1.473409671593928	-0.9740125786505883	True
Base	theta1=1	Gene_500	c5080	1.1530739873424036	1.427416172658082	2.0	1.7174978	1.2755418	0.5644238126575964	0.4424973079342413	True
Base	theta1=1	Gene_500	c5081	3.193334948144175	3.233550160450421	3.0	2.692066	1.2653345	-0.5012689481441748	-0.39615528395390687	True
Base	theta1=1	Gene_500	c5082	2.27319625485343	2.371214124813225	1.0	1.5868281	1.3933787	-0.68636815485343	-0.4925926848554739	True
Base	theta1=1	Gene_500	c5083	1.16384431928095	1.4356129570797456	2.0	2.0017097	1.2636282	0.8378653807190501	0.6630632180565851	True
Base	theta1=1	Gene_500	c5084	2.5067334271421005	2.5851139621016705	1.0	1.3382772	1.3570572	-1.1684562271421004	-0.861022090404222	True
Base	theta1=1	Gene_500	c5085	2.052920429562296	2.1736852294001405	2.0	2.8478472	1.3788158	0.7949267704377041	0.576528620021401	True
