"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,0.931520031005576,0.0732539997369134,0.189719406424117,4.08037632999438,-1046.68046811524,1,0.749209109682043,0.157641227063847,0.359702189678193,1.70644097963434,-1037.49605075297,1,0.909957439295165,0.0636667665975356,15.7869786019959,-1054.38361403192,4.63259629546187e-08,6.18648121619714e-09,4.63259629546187e-08,"True"
1,1,0.931520031005576,0.0732539997369134,0.189719406424117,4.08037632999438,-1046.68046811524,1,2.4138061078275,0.157641227063847,0.359702189678193,1.70644097963434,-1037.49605075297,1,0.909957439295165,0.0636667665975356,15.7869786019959,-1054.38361403192,4.63259629546187e-08,6.18648121619714e-09,4.63259629546187e-08,"True"
2,1,1.22990735766452,0.0580289484066838,0.157705976481914,7.09294652971299,-1114.158907732,1,1.26484215418362,0.0584121576091392,0.158105037383007,7.07318675326158,-1114.06549384244,1,1.25920952452763,0.0624972984139477,20.8745859729948,-1117.96680122196,0.0202154648768664,0.00521706859238147,0.0202154648768664,"True"
2,1,1.22990735766452,0.0580289484066838,0.157705976481914,7.09294652971299,-1114.158907732,1,0.950573475469247,0.0584121576091392,0.158105037383007,7.07318675326158,-1114.06549384244,1,1.25920952452763,0.0624972984139477,20.8745859729948,-1117.96680122196,0.0202154648768664,0.00521706859238147,0.0202154648768664,"True"
3,1,1.45421450313425,0.0303942521782816,0.137213535628836,8.32340959057529,-1126.99647559734,1,1.2322947601475,0.0427282355859713,0.155373561245133,7.218256128416,-1125.3534239531,1,1.49895153653136,0.0884804598795248,13.8090204766338,-1128.3751216095,0.0487184409449879,0.0139584139373771,0.0487184409449879,"True"
3,1,1.45421450313425,0.0303942521782816,0.137213535628836,8.32340959057529,-1126.99647559734,1,3.34465506468684,0.0427282355859713,0.155373561245133,7.218256128416,-1125.3534239531,1,1.49895153653136,0.0884804598795248,13.8090204766338,-1128.3751216095,0.0487184409449879,0.0139584139373771,0.0487184409449879,"True"
4,1,0.651581976939632,0.0260676669197512,0.0613351564855282,11.0670591417456,-935.799752274928,1,0.370173491588697,0.0951684387875968,0.114324227447369,5.44277064122824,-925.856067786497,1,0.649204347137355,0.0406162223017192,17.6854536196322,-937.1389346701,1.25867374259903e-05,2.03074532045822e-06,1.25867374259903e-05,"True"
4,1,0.651581976939632,0.0260676669197512,0.0613351564855282,11.0670591417456,-935.799752274928,1,2.58510532769934,0.0951684387875968,0.114324227447369,5.44277064122824,-925.856067786497,1,0.649204347137355,0.0406162223017192,17.6854536196322,-937.1389346701,1.25867374259903e-05,2.03074532045822e-06,1.25867374259903e-05,"True"
5,1,0.763094515129142,0.0387011394702604,0.0640166826445206,15.4050900886452,-1020.68581875305,1,0.585460313049424,0.0943124704940505,0.113525780345025,8.12371802423415,-1014.47834189841,1,0.756080983430293,0.0320846933097942,33.004570478465,-1022.3605886925,0.000377384198946729,7.17362372425479e-05,0.000377384198946729,"True"
5,1,0.763094515129142,0.0387011394702604,0.0640166826445206,15.4050900886452,-1020.68581875305,1,2.08909307242911,0.0943124704940505,0.113525780345025,8.12371802423415,-1014.47834189841,1,0.756080983430293,0.0320846933097942,33.004570478465,-1022.3605886925,0.000377384198946729,7.17362372425479e-05,0.000377384198946729,"True"
6,1,2.8221546968517,0.00799636158134014,0.112348213489448,23.2234428131859,-1328.75363582108,1,2.7965537504515,0.00839371389410698,0.113145848095628,23.0441551310513,-1328.74263487798,1,2.83118257490972,0.0970248073521433,27.2411303276643,-1328.82039960156,0.925182074461573,0.693306251244974,0.925182074461573,"False"
6,1,2.8221546968517,0.00799636158134014,0.112348213489448,23.2234428131859,-1328.75363582108,1,3.68239728025729,0.00839371389410698,0.113145848095628,23.0441551310513,-1328.74263487798,1,2.83118257490972,0.0970248073521433,27.2411303276643,-1328.82039960156,0.925182074461573,0.693306251244974,0.925182074461573,"False"
