"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,1.97856339385219,0.0302986879191864,0.212454415356626,8.66597839651218,-1277.32888720912,1,1.83802684790319,0.0344059786963367,0.221824522725069,8.25224887942373,-1276.86824115836,1,1.97540206582765,0.142248177552764,13.6182509015152,-1278.41461646217,0.213018704237184,0.0786417690446547,0.213018704237184,"False"
1,1,1.97856339385219,0.0302986879191864,0.212454415356626,8.66597839651218,-1277.32888720912,1,3.49919873313343,0.0344059786963367,0.221824522725069,8.25224887942373,-1276.86824115836,1,1.97540206582765,0.142248177552764,13.6182509015152,-1278.41461646217,0.213018704237184,0.0786417690446547,0.213018704237184,"False"
2,1,1.36888963894363,0.0824214947076234,0.225623042185885,5.35199240208558,-1150.72593302259,1,1.36684717728769,0.082368219606641,0.2255122176833,5.35502142400747,-1150.72549413507,1,1.33025642512841,0.0813594108963944,17.3032182108569,-1156.11657507853,0.00455704476470919,0.00102482916538116,0.00455704476470919,"True"
2,1,1.36888963894363,0.0824214947076234,0.225623042185885,5.35199240208558,-1150.72593302259,1,1.38286751885502,0.082368219606641,0.2255122176833,5.35502142400747,-1150.72549413507,1,1.33025642512841,0.0813594108963944,17.3032182108569,-1156.11657507853,0.00455704476470919,0.00102482916538116,0.00455704476470919,"True"
3,1,2.67022931038608,0.0566628130746641,0.27149303110271,8.87397694225709,-1341.36726065755,1,2.696639866892,0.0574693031069374,0.27410312846784,8.77728765830796,-1341.33886760784,1,2.66353338296713,0.118625562065366,22.5227622260443,-1344.36030102468,0.0487313159851053,0.013962592795686,0.0487313159851053,"True"
3,1,2.67022931038608,0.0566628130746641,0.27149303110271,8.87397694225709,-1341.36726065755,1,2.46005699870573,0.0574693031069374,0.27410312846784,8.77728765830796,-1341.33886760784,1,2.66353338296713,0.118625562065366,22.5227622260443,-1344.36030102468,0.0487313159851053,0.013962592795686,0.0487313159851053,"True"
4,1,2.10972740971683,0.0160822877542661,0.126162725910251,17.7144578265217,-1291.08272521378,1,2.15254283081766,0.0164567170313063,0.126701320110399,17.6346578507628,-1291.04339888038,1,2.10576016814839,0.0974019849906305,23.4789993990991,-1291.38481479747,0.710763228143914,0.408613294537255,0.710763228143914,"False"
4,1,2.10972740971683,0.0160822877542661,0.126162725910251,17.7144578265217,-1291.08272521378,1,1.30106984130808,0.0164567170313063,0.126701320110399,17.6346578507628,-1291.04339888038,1,2.10576016814839,0.0974019849906305,23.4789993990991,-1291.38481479747,0.710763228143914,0.408613294537255,0.710763228143914,"False"
5,1,3.14424649724509,0.0412802756501477,0.288002608373623,9.68522380173611,-1392.20945928265,1,3.11851614349265,0.0416096301635592,0.289137749149541,9.64225270395341,-1392.19366379993,1,3.1082560764084,0.162322761179594,18.3735090326735,-1394.12677717639,0.144697000238591,0.0492671648916384,0.144697000238591,"False"
5,1,3.14424649724509,0.0412802756501477,0.288002608373623,9.68522380173611,-1392.20945928265,1,3.39169978162191,0.0416096301635592,0.289137749149541,9.64225270395341,-1392.19366379993,1,3.1082560764084,0.162322761179594,18.3735090326735,-1394.12677717639,0.144697000238591,0.0492671648916384,0.144697000238591,"False"
6,1,1.02168181049987,0.0187367266272999,0.0818635678637945,12.3126829557288,-1060.20851081308,1,1.04364443959229,0.0192561588815314,0.0825319621915996,12.1982346009699,-1060.19146706004,1,1.01076378107688,0.0585907291705685,18.0622005564775,-1060.72774218329,0.584922965544439,0.300370115246237,0.584922965544439,"False"
6,1,1.02168181049987,0.0187367266272999,0.0818635678637945,12.3126829557288,-1060.20851081308,1,0.662567838541316,0.0192561588815314,0.0825319621915996,12.1982346009699,-1060.19146706004,1,1.01076378107688,0.0585907291705685,18.0622005564775,-1060.72774218329,0.584922965544439,0.300370115246237,0.584922965544439,"False"
7,1,2.33330888448497,0.00989077861670549,0.115601212250231,21.0009565586255,-1310.65894653113,1,2.34300806268793,0.0099617951020369,0.115719566202209,20.9780309603577,-1310.65722998835,1,2.32829757318521,0.0972322504456522,25.3583645002395,-1310.77855539203,0.885745687784321,0.622298083439039,0.885745687784321,"False"
7,1,2.33330888448497,0.00989077861670549,0.115601212250231,21.0009565586255,-1310.65894653113,1,2.0498663469326,0.0099617951020369,0.115719566202209,20.9780309603577,-1310.65722998835,1,2.32829757318521,0.0972322504456522,25.3583645002395,-1310.77855539203,0.885745687784321,0.622298083439039,0.885745687784321,"False"
8,1,2.58864468265979,0.0496865951985794,0.289469677248249,9.18488975134589,-1375.17598420709,1,2.56298356623093,0.0502556788501156,0.291359354239641,9.11783337156464,-1375.15643048485,1,2.6404670951054,0.140394051773278,20.6582359347225,-1376.73605346682,0.206052769171341,0.075498047620286,0.206052769171341,"False"
8,1,2.58864468265979,0.0496865951985794,0.289469677248249,9.18488975134589,-1375.17598420709,1,2.80318594288641,0.0502556788501156,0.291359354239641,9.11783337156464,-1375.15643048485,1,2.6404670951054,0.140394051773278,20.6582359347225,-1376.73605346682,0.206052769171341,0.075498047620286,0.206052769171341,"False"
9,1,2.66811640061855,0.029030222597865,0.195979799277983,13.4852001326845,-1356.0461879327,1,2.73958393704049,0.0305186243137104,0.199915293256338,13.1890805473059,-1355.94335451414,1,2.60558900496371,0.123048257948958,22.6134696988921,-1357.2150157802,0.28036547304084,0.110761491212228,0.28036547304084,"False"
9,1,2.66811640061855,0.029030222597865,0.195979799277983,13.4852001326845,-1356.0461879327,1,1.87785892754003,0.0305186243137104,0.199915293256338,13.1890805473059,-1355.94335451414,1,2.60558900496371,0.123048257948958,22.6134696988921,-1357.2150157802,0.28036547304084,0.110761491212228,0.28036547304084,"False"
