node,node2,regime
c5156,,0
c4934,,0
c5112,,0
c4932,,0
c5292,,0
c5071,,0
c5061,,0
c5268,,0
c5226,,0
c5193,,0
c5056,,0
c5276,,0
c5014,,0
c5048,,0
c4980,,0
c4905,,0
c5340,,0
c5123,,0
c5225,,0
c5094,,0
c5129,,0
c5003,,0
c5054,,0
c5178,,0
c5211,,0
c5345,,0
c4900,,0
c5034,,0
c5377,,0
c5322,,0
c5179,,0
c5191,,0
c5023,,0
c5380,,0
c5364,,0
c5203,,0
c5152,,0
c4915,,0
c5046,,0
c5000,,0
c5362,,0
c5200,,0
c5324,,0
c5339,,0
c5042,,0
c5011,,0
c5241,,0
c4948,,0
c4914,,0
c5240,,0
c5175,,0
c5111,,0
c5006,,0
c5198,,0
c5405,,0
c5403,,0
c5143,,0
c5305,,0
c5126,,0
c4992,,0
c5073,,0
c5030,,0
c5170,,0
c5105,,0
c5001,,0
c5185,,0
c5097,,0
c5413,,0
c5018,,0
c5374,,0
c5120,,0
c5077,,0
c5022,,0
c5395,,0
c5098,,0
c4926,,0
c4972,,0
c4960,,0
c5025,,0
c5101,,0
c5254,,0
c5108,,0
c5039,,0
c5349,,0
c5119,,0
c4942,,0
c5050,,0
c4973,,0
c5223,,0
c4988,,0
c4924,,0
c5290,,0
c5293,,0
c5279,,0
c5010,,0
c5113,,0
c5110,,0
c5351,,0
c4962,,0
c5398,,0
c5235,,0
c5138,,0
c5125,,0
c5370,,0
c4918,,0
c5134,,0
c5295,,0
c4912,,0
c5102,,0
c5133,,0
c5323,,0
c5418,,0
c5368,,0
c4935,,0
c4945,,0
c5381,,0
c5402,,0
c5278,,0
c4952,,0
c5027,,0
c5499,,0
c5477,,0
c5460,,0
c5532,,0
c5537,,0
c5512,,0
c5494,,0
c5533,,0
c5444,,0
c5493,,0
c5429,,0
c5478,,0
c5463,,0
c5482,,0
c5464,,0
c5439,,0
c5453,,0
c5508,,0
c5509,,0
c5542,,0
c5458,,0
c5491,,0
c5510,,0
c5440,,0
c5448,,0
c5489,,0
c5515,,0
c5503,,0
c5436,,0
c5521,,0
c5475,,0
c5504,,0
c5424,,0
c5490,,0
c5422,,0
c5524,,0
c5506,,0
c5535,,0
c5500,,0
c5528,,0
c5485,,0
c5467,,0
c5427,,0
c5511,,0
c5450,,0
c5502,,0
c5488,,0
c5531,,0
c5445,,0
c5452,,0
c5540,,0
c5492,,0
c5483,,0
c5501,,0
c5507,,0
c5446,,0
c5455,,0
c5487,,0
c5523,,0
c5435,,0
c5468,,0
c5539,,0
c5474,,0
c5481,,0
c5426,,0
c5438,,0
c5470,,0
c5461,,0
c5518,,0
c5525,,0
c5505,,0
c5441,,0
c5534,,0
c5486,,0
c5522,,0
c5431,,0
c5469,,0
c5430,,0
c5498,,0
c5479,,0
c5520,,0
c5480,,0
c5496,,0
c5519,,0
c5434,,0
c5529,,0
c5421,,0
c5514,,0
c5473,,0
c5425,,0
c5462,,0
c5517,,0
c5527,,0
c5536,,0
c5476,,0
c5495,,0
c5423,,0
c5442,,0
c5541,,0
c5456,,0
c5471,,0
c5454,,0
c5432,,0
c5459,,0
c5437,,0
c5447,,0
c5466,,0
c5538,,0
c5451,,0
c5526,,0
c5419,,0
c5497,,0
c5530,,0
c5443,,0
c5472,,0
c5420,,0
c5449,,0
c5484,,0
c5465,,0
c5428,,0
c5516,,0
c5513,,0
c5433,,0
c5058,c5083,0
c5058,c5184,0
c5058,c4990,0
c5058,c5242,0
c5058,c5124,0
c5058,c5215,0
c5058,c5214,0
c5058,c4920,0
c5058,c5057,0
c5058,c5499,0
c5083,c5040,0
c5083,c5232,0
c5083,c5148,0
c5083,c5285,0
c5083,c5017,0
c5083,c4969,0
c5083,c5084,0
c5083,c4993,0
c5083,c5135,0
c5083,c5363,0
c5083,c5277,0
c5083,c5177,0
c5040,c5189,0
c5040,c4911,0
c5040,c5039,0
c5232,c4940,0
c5232,c5026,0
c5232,c5396,0
c5232,c5316,0
c5232,c5088,0
c5232,c4950,0
c5232,c5231,0
c5232,c5101,0
c5148,c5222,0
c5148,c5168,0
