scenario	scenario_title	theta1	method	n_genes	q_min	q_q10	q_q25	q_median	q_q75	q_q90	q_max	n_q_lt_0_05
Base	$\theta_1=1$ (null)	1	chi-square	500	3.386180225106728e-12	7.15078032137654e-05	0.0039164141558820495	0.11073406581789275	0.4724173253514472	1.0	1.0	203
Base	$\theta_1=1$ (null)	1	empirical null	500	0.0019228846346134	0.0048072115865336	0.041662500416625	0.3190911067623396	0.7838319891415114	0.9429074791635881	0.9994000599940006	130
Theta1	$\theta_1=3$	3	chi-square	500	0.0	6.9472599829785895e-09	3.3661486922809475e-05	0.008271078729141599	0.1589996909565229	0.5267715245044547	1.0	318
Theta1	$\theta_1=3$	3	empirical null	500	0.000555500005555	0.000555500005555	0.0023435156484351	0.04909588722402655	0.3894557352775361	0.7398388764227791	0.994000599940006	251
t5r5	$\theta_1=5$	5	chi-square	500	0.0	2.8399944869600506e-12	2.1556527251051637e-09	8.577288921895136e-06	0.005408595104406675	0.13430996112559965	1.0	427
t5r5	$\theta_1=5$	5	empirical null	500	0.0002272500022725	0.0002272500022725	0.0002272500022725	0.0009362359644185	0.03250818535167757	0.32819423157462524	0.9562043795620438	387
t7r5	$\theta_1=7$	7	chi-square	500	0.0	0.0	5.690315943308546e-13	8.324301066956903e-10	8.074937747909815e-07	0.0001354448977901807	1.0	489
t7r5	$\theta_1=7$	7	empirical null	500	0.000133676471925	0.000133676471925	0.000133676471925	0.000133676471925	0.0002506015062654	0.0029930488104182	0.9563043695630437	481
