scenario	theta1	node_name	is_leaf	sim_expr	read_count	infer_mu	infer_var	sim_root	sim_centered	reconstructed_centered	residual	abs_error	sim_history_file	reconstruction_file
r0	1	c0	False	-2.23182608853396		-0.9158743274284636	3.8546476868981694	-2.23182608853396	0.0	1.3159517611054965	1.3159517611054965	1.3159517611054965	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c6	False	-2.54220728502641		-0.9146293646132456	3.854625780834918	-2.23182608853396	-0.3103811964924499	1.3171967239207145	1.6275779204131644	1.6275779204131644	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c46	False	-2.5224356238179517		-0.9226773781358576	3.854343342010581	-2.23182608853396	-0.2906095352839917	1.3091487103981025	1.5997582456820942	1.5997582456820942	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c56	False	-2.3175785263384348		-0.9311736013414096	3.8542209336933233	-2.23182608853396	-0.08575243780447472	1.3006524871925504	1.3864049249970252	1.3864049249970252	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c70	False	-2.293780658289578		-0.9404028608023391	3.854120603192176	-2.23182608853396	-0.06195456975561786	1.2914232277316209	1.3533777974872387	1.3533777974872387	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c90	False	-1.1408068619006966		-0.9602589597906068	3.853864842561459	-2.23182608853396	1.0910192266332635	1.2715671287433532	0.18054790211008975	0.18054790211008975	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c255	False	-2.142810261710803		-1.1324433779107332	3.8458482116595194	-2.23182608853396	0.0890158268231569	1.0993827106232268	1.01036688380007	1.01036688380007	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c316	False	-3.194354577965745		-1.213625191497545	3.8390165626378265	-2.23182608853396	-0.9625284894317852	1.018200897036415	1.9807293864682	1.9807293864682	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c397	False	-4.299593690322286		-1.308738062027989	3.833671284356381	-2.23182608853396	-2.067767601788326	0.9230880265059711	2.9908556282942973	2.9908556282942973	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c632	False	-4.157537604119694		-1.5403243592020952	3.803089318910567	-2.23182608853396	-1.9257115155857343	0.6915017293318648	2.617213244917599	2.617213244917599	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c756	False	-4.3971768308659245		-1.6269869676447508	3.783233033094507	-2.23182608853396	-2.1653507423319645	0.6048391208892092	2.770189863221174	2.770189863221174	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c906	False	-4.740445974734118		-1.6964581390324704	3.752836112168432	-2.23182608853396	-2.5086198862001576	0.5353679495014896	3.043987835701647	3.043987835701647	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c1054	False	-4.191505383253071		-1.7770405365996311	3.702553611460296	-2.23182608853396	-1.9596792947191113	0.4547855519343289	2.4144648466534404	2.4144648466534404	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c1693	False	-4.105831293325978		-1.93477930399628	3.506687853071898	-2.23182608853396	-1.874005204792018	0.2970467845376801	2.171051989329698	2.171051989329698	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c2646	False	-4.478169280756262		-2.46370579957228	2.761133182057254	-2.23182608853396	-2.246343192222302	-0.23187971103831995	2.014463481183982	2.014463481183982	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c3205	False	-4.5976594711078445		-2.5549267980120725	2.4084250393034363	-2.23182608853396	-2.3658333825738844	-0.3231007094781124	2.042732673095772	2.042732673095772	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c3828	False	-5.172466528991398		-2.5714691530199687	1.9804062820449435	-2.23182608853396	-2.940640440457438	-0.3396430644860087	2.6009973759714295	2.6009973759714295	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4607	False	-4.92524060142695		-2.4460812981589624	1.6405095204549551	-2.23182608853396	-2.6934145128929896	-0.21425520962500233	2.4791593032679873	2.4791593032679873	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5197	True	0.0091457030709624	0.0	-2.242209281980613	1.2274468115166537	-2.23182608853396	2.2409717916049225	-0.01038319344665295	-2.2513549850515755	2.2513549850515755	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5198	True	0.0138068720264383	0.0	-2.2670492331102	1.2005256417249786	-2.23182608853396	2.2456329605603984	-0.035223144576240095	-2.2808561051366385	2.2808561051366385	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4608	False	-4.31872874359011		-2.43476997998338	1.645432831043124	-2.23182608853396	-2.0869026550561496	-0.20294389144941993	1.8839587636067296	1.8839587636067296	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4897	True	0.0190105550814218	0.0	-2.2420516222351083	1.2173476617761314	-2.23182608853396	2.250836643615382	-0.010225533701148315	-2.2610621773165303	2.2610621773165303	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4898	True	0.017596365927038	0.0	-2.235177569615399	1.2293778907648452	-2.23182608853396	2.249422454460998	-0.0033514810814390117	-2.252773935542437	2.252773935542437	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4278	False	-4.792817442783301		-2.2821009809237083	1.7519423253353656	-2.23182608853396	-2.560991354249341	-0.05027489238974825	2.5107164618595927	2.5107164618595927	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5147	True	0.0100009414446001	0.0	-2.134615433321802	1.233611680475649	-2.23182608853396	2.2418270299785603	0.09721065521215788	-2.1446163747664024	2.1446163747664024	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5148	True	0.0099131032736178	0.0	-2.128021239630532	1.2482002448137344	-2.23182608853396	2.2417391918075777	0.10380484890342823	-2.1379343429041495	2.1379343429041495	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c3570	False	-3.637671100645528		-2.4634977015569803	2.04638107726502	-2.23182608853396	-1.405845012111568	-0.2316716130230203	1.1741733990885477	1.1741733990885477	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4473	False	-3.6008084875619475		-2.366696689166982	1.6459198189960669	-2.23182608853396	-1.3689823990279875	-0.1348706006330218	1.2341117983949657	1.2341117983949657	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4905	True	0.1063972341386108	0.0	-2.192442025254091	1.1993248320190184	-2.23182608853396	2.3382233226725706	0.039384063279868986	-2.2988392593927016	2.2988392593927016	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4906	True	0.0397444985998425	0.0	-2.200001116082622	1.193356763017449	-2.23182608853396	2.2715705871338026	0.031824972451337974	-2.2397456146824646	2.2397456146824646	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4474	False	-3.63713862971762		-2.366442253019713	1.6475635581454935	-2.23182608853396	-1.40531254118366	-0.13461616448575286	1.2706963766979071	1.2706963766979071	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4895	True	0.0298503229416104	0.0	-2.196692393324235	1.210075252513777	-2.23182608853396	2.2616764114755705	0.03513369520972498	-2.2265427162658455	2.2265427162658455	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4896	True	0.0452200161706361	0.0	-2.195030282238428	1.1888590231379284	-2.23182608853396	2.277046104704596	0.03679580629553181	-2.240250298409064	2.240250298409064	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c1933	False	-3.9400466726657264		-1.8098663937766848	3.454277333704049	-2.23182608853396	-1.7082205841317664	0.42195969475727524	2.130180278889042	2.130180278889042	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c3991	False	-3.64980205097365		-1.1431984365190524	2.0540132331969434	-2.23182608853396	-1.41797596243969	1.0886276520149076	2.5066036144545976	2.5066036144545976	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4541	False	-3.5236249808371998		-0.7028809777028624	1.5279459024073576	-2.23182608853396	-1.2917988923032397	1.5289451108310976	2.8207440031343376	2.8207440031343376	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5413	True	0.0989127112762047	2.0	-0.0137713997095786	0.8236443262626003	-2.23182608853396	2.3307387998101645	2.2180546888243815	-0.11268411098578301	0.11268411098578301	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5414	True	0.0278462066745576	0.0	-0.9876817999107008	1.11408319522609	-2.23182608853396	2.2596722952085178	1.2441442886232592	-1.0155280065852585	1.0155280065852585	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c4542	False	-3.5842261675312885		-1.4373464024802831	1.6421708928416727	-2.23182608853396	-1.3524000789973285	0.7944796860536769	2.1468797650510054	2.1468797650510054	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5175	True	0.0536813527155841	0.0	-1.5442265316913246	1.1829367197331122	-2.23182608853396	2.285507441249544	0.6875995568426354	-1.5979078844069086	1.5979078844069086	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
r0	1	c5176	True	0.0276388446774974	0.0	-1.5369516066020936	1.189142869262174	-2.23182608853396	2.2594649332114574	0.6948744819318664	-1.564590451279591	1.564590451279591	expression_simulation/simulation/sim_history_r0.tsv	expression_simulation/reconst/history_r0_gene500.tsv
