node_name	is_leaf	sim_expr	read_count
c0	False	3.8764936997865247	
c6	False	3.0136286721638266	
c46	False	1.992783406576658	
c56	False	2.5188969188952393	
c70	False	1.847726892910499	
c90	False	2.1496040447684086	
c108	False	2.1926085320454365	
c168	False	1.814685467307554	
c447	False	1.3436701217101452	
c1124	False	-0.7721432581683372	
c3218	False	-1.8528418062252388	
c3729	False	-1.7188679805500957	
c4393	False	-1.5743536792454107	
c5357	True	0.12227315114340456	1.0
c5358	True	0.12137629205913451	0.0
c4394	False	-1.0388249910832248	
c5127	True	0.2521711471999576	0.0
c5128	True	0.23341906067362855	0.0
c3730	False	-1.571539622872709	
c4429	False	-1.2784161065739528	
c5159	True	0.41785507877117395	1.0
c5160	True	0.26959077559736006	0.0
c4430	False	-1.824526796252357	
c5185	True	0.18241068428625165	0.0
c5186	True	0.11858365847641886	0.0
c1907	False	-2.483425834175857	
c3863	False	-2.4364983347761977	
c4647	False	-3.0598474498355	
c5355	True	0.045389874057994016	0.0
c5356	True	0.03687924241072155	0.0
c4648	False	-2.2802681118826484	
c4985	True	0.1768689426676332	0.0
c4986	True	0.061747517846006066	0.0
c2829	False	-1.3267015734635876	
c4340	False	-1.1529977310196524	
c5289	True	0.10675023646776408	0.0
c5290	True	0.4565206632216071	1.0
c4322	False	-2.2203659099892663	
c5325	True	0.12997034741033264	1.0
c5326	True	0.15726432373821542	0.0
c648	False	1.448883770420799	
c3433	False	1.4063545129529051	
c4530	False	2.0280995223162916	
c5055	True	2.3012388852779466	2.0
c5056	True	2.1564600907642877	2.0
c4186	False	2.9026533969956763	
c5133	True	2.936157205893925	2.0
c5134	True	2.487799698178016	1.0
c4326	False	1.6652096757440065	
c5115	True	1.5159090801868695	1.0
c5116	True	1.1061879036122488	1.0
c1348	False	2.159160297127033	
c1506	False	2.763131292355479	
c2652	False	3.898196640463558	
c3193	False	3.3840173788203907	
c4492	False	3.3219224212469447	
c5371	True	3.2381001920313275	2.0
c5372	True	3.6937727672974865	2.0
c4631	False	2.9875549101371823	
c4999	True	3.2358063372369914	1.0
c5000	True	3.7283835438867383	6.0
c3692	False	3.95140094552384	
c4335	False	4.51139892765068	
c4907	True	3.5982341647191443	8.0
