ID	gene	lrt	lavous_p	lavous_q	h1_theta_IGHG1	h1_theta_IGHA1	symbol	gene_id	wilcoxon_p	wilcoxon_q	diff_mean_log1p_igha1_minus_ighg1	log2fc_norm_igha1_vs_ighg1	lavous_neg_log10_q	wilcoxon_neg_log10_q	category	abs_delta_neg_log10_q
35	XBP1	42.26172	0.0004997501249375	0.0081625853739796	45.9172477722168	38.37078094482422	XBP1	ENSG00000100219	0.0008451516635816	0.2396980141250401	-0.3550596290798524	-0.5513287939571749	2.088172263327364	0.6203355640393937	lavous only	1.4678366992879703
6	ACTG1	87.021484	0.0004997501249375	0.0081625853739796	28.78614616394043	22.065847396850582	ACTG1	ENSG00000184009	0.0045358297397334	0.4824116610691528	0.6728788451384475	0.5293256566097571	2.088172263327364	0.31658220278171745	lavous only	1.7715900605456465
28	RPS2	43.089844	0.0014992503748125	0.0146926536731634	46.57743835449219	30.772506713867188	RPS2	ENSG00000140988	0.8058758507734588	0.996386030669676	0.1007557584382472	0.1379355335052076	1.8328997582240547	0.0015723699006893448	lavous only	1.8313273883233654
1	FTL	34.63086	0.0014992503748125	0.0146926536731634	31.945236206054688	22.81151580810547	FTL	ENSG00000087086	0.9146919514374736	0.999646918013494	0.0564480523600758	-0.0219587538312649	1.8328997582240547	0.00015336863584389883	lavous only	1.8327463895882108
26	JCHAIN	173.3125	0.0204897551224387	0.10039980009995	464.0022583007813	563.8423461914062	JCHAIN	ENSG00000132465	0.0001960560467078	0.1141355754018547	0.5848329189729649	0.5318197164018164	0.9982671518879623	0.9425789673907471	neither	0.05568818449721524
30	H1FX	13.681152	0.0299850074962518	0.1335695788469401	10.416163444519045	4.465931415557861	H1FX	ENSG00000184897	0.131018159605528	0.9053058825209764	-0.2486572094101133	-0.5952688899866252	0.8742924433822794	0.0432046576499408	neither	0.8310877857323387
41	RPL5	10.859375	0.089455272363818	0.2923225887056472	26.05654525756836	16.790401458740234	RPL5	ENSG00000122406	0.3833846357956676	0.9431529094673454	-0.0658181590330211	-0.1388493151255272	0.5341376240158949	0.02541789119225545	neither	0.5087197328236395
43	RPS4X	26.304688	0.1229385307346326	0.3543522356468824	82.9487533569336	51.43366241455078	RPS4X	ENSG00000198034	0.2454254835203528	0.9084764881710876	-0.0953516308954034	-0.121238996527598	0.4505648228825926	0.041686307970353734	neither	0.40887851491223887
21	MT-ATP6	34.84375	0.1964017991004497	0.5346493419956688	87.44010162353516	105.64374542236328	MT-ATP6	ENSG00000198899	0.1035618711765339	0.9053058825209764	0.1674053264867323	0.1543396682644081	0.2719309633355771	0.0432046576499408	neither	0.2287263056856363
20	MTRNR2L12	31.183594	0.2223888055972014	0.5735290249612036	75.9261703491211	91.71915435791016	MTRNR2L12	ENSG00000269028	0.2098598833308135	0.9053058825209764	0.1371229532879279	-0.0459165522799063	0.2414445985795951	0.0432046576499408	neither	0.1982399409296543
45	GAPDH	16.09375	0.3233383308345827	0.7201626459497523	57.24145126342773	24.83429908752441	GAPDH	ENSG00000111640	0.7703184327551984	0.996386030669676	-0.0443318582978276	-0.1127548874991471	0.14256940876120364	0.0015723699006893448	neither	0.1409970388605143
25	HLA-B	37.109375	0.409295352323838	0.8031984007996001	149.6881561279297	138.86900329589844	HLA-B	ENSG00000234745	0.1044559183345495	0.9053058825209764	-0.0789964176190354	-0.1683768368034342	0.0951771648960187	0.0432046576499408	neither	0.051972507246077895
16	MT-CO2	63.53125	0.4097951024487756	0.8031984007996001	202.6648712158203	206.22897338867188	MT-CO2	ENSG00000198712	0.2239303562986088	0.9053058825209764	0.0863077289926934	-0.0529693298056854	0.0951771648960187	0.0432046576499408	neither	0.051972507246077895
0	MT-CO3	28.1875	0.5787106446776612	0.9509411960686324	175.42221069335938	184.1876983642578	MT-CO3	ENSG00000198938	0.0476253555488739	0.8343402702674811	0.1708808556606511	0.0228594554989781	0.021846337965322395	0.07865679425283241	neither	0.05681045628751001
46	MT-CYB	21.046875	0.5287356321839081	0.9509411960686324	117.77898406982422	122.95128631591795	MT-CYB	ENSG00000198727	0.1850500867163448	0.9053058825209764	0.104400293886453	-0.0008228413798635	0.021846337965322395	0.0432046576499408	neither	0.021358319684618408
2	RPLP1	24.453125	0.553223388305847	0.9509411960686324	142.4368133544922	95.8332977294922	RPLP1	ENSG00000137818	0.3225174213105977	0.9307195069757204	-0.0474859427643217	-0.1138704191693007	0.021846337965322395	0.03118118360177238	neither	0.009334845636449984
17	RPSA	3.3291016	0.5822088955522239	0.9509411960686324	20.231521606445312	13.451537132263184	RPSA	ENSG00000168028	0.8451252287635452	0.999646918013494	-0.0162589777462143	0.0270439166682154	0.021846337965322395	0.00015336863584389883	neither	0.021692969329478496
15	CD74	5.5625	0.656671664167916	0.9750579255826632	54.13200759887695	49.25877380371094	CD74	ENSG00000019582	0.3697832767959232	0.9431529094673454	-0.0609214630169914	-0.0915768837212023	0.010969583261823236	0.02541789119225545	neither	0.014448307930432213
22	MT-CO1	-11.25	0.9325337331334332	0.9995002498750624	246.7364196777344	285.2873229980469	MT-CO1	ENSG00000198804	0.0306696788226444	0.8027127751490156	0.1494062679303018	0.0567582281238579	0.00021709297223025415	0.09543982518496484	neither	0.09522273221273458
40	PPIB	-3.4921875	0.9705147426286856	0.9995002498750624	106.05508422851562	112.25880432128906	PPIB	ENSG00000166794	0.0490572624217424	0.8411172352308507	0.169310350206457	0.203071101680399	0.00021709297223025415	0.07514346785793871	neither	0.07492637488570845
42	MZB1	6.4609375	0.8375812093953023	0.9995002498750624	114.01752471923828	125.3912124633789	MZB1	ENSG00000170476	0.2175956826100963	0.9053058825209764	-0.0442491458546747	-0.0832331073744285	0.00021709297223025415	0.0432046576499408	neither	0.042987564677710546
33	TXNDC5	-20.84375	0.9945027486256872	0.9995002498750624	135.47947692871094	138.22467041015625	TXNDC5	ENSG00000239264	0.3123505846295257	0.9300351487512424	-0.0087874666205172	-0.0931129723526744	0.00021709297223025415	0.03150063787589937	neither	0.031283544903669115
32	HSPA5	-2.5996094	0.9245377311344328	0.9995002498750624	35.63941192626953	37.13663101196289	HSPA5	ENSG00000044574	0.435829006579508	0.9570348549229152	0.1246685413635106	0.0926925842405542	0.00021709297223025415	0.019072245060107428	neither	0.018855152087877174
4	B2M	22.125	0.792103948025987	0.9995002498750624	271.7967224121094	221.9640045166016	B2M	ENSG00000166710	0.4948365381130973	0.959511221208671	0.0354284423669843	-0.0530233718899925	0.00021709297223025415	0.01794994194934339	neither	0.017732848977113136
13	HSP90B1	-3.28125	0.9010494752623688	0.9995002498750624	146.83265686035156	161.21926879882812	HSP90B1	ENSG00000166598	0.5835479547822913	0.9799034352280134	-0.0319652545460016	-0.0695050807277905	0.00021709297223025415	0.008816719831917388	neither	0.008599626859687133
12	RPL41	5.46875	0.8065967016491754	0.9995002498750624	81.56609344482422	53.733036041259766	RPL41	ENSG00000229117	0.6335078440031308	0.9841746019324872	0.0355738077244502	-0.0588688467699769	0.00021709297223025415	0.0069278467627146454	neither	0.006710753790484391
36	PTMA	0.13867188	0.8725637181409296	0.9995002498750624	30.056236267089844	26.730131149291992	PTMA	ENSG00000187514	0.9246969651204358	0.999646918013494	-0.0005480033347469	-0.1156522929101388	0.00021709297223025415	0.00015336863584389883	neither	6.372433638635532e-05
27	RPL12	1.9980469	0.7331334332833583	0.9995002498750624	31.056486129760746	24.108062744140625	RPL12	ENSG00000197958	0.9313730264134636	0.999646918013494	0.0479236801250997	0.0565794981196387	0.00021709297223025415	0.00015336863584389883	neither	6.372433638635532e-05
44	RPL10	5.609375	0.856071964017991	0.9995002498750624	94.154296875	67.1993179321289	RPL10	ENSG00000147403	0.9916206900828728	0.999860824850352	0.0747200715885894	0.0088041036474422	0.00021709297223025415	6.0447205982235445e-05	neither	0.00015664576624801872
